Grant Funder Name,Grant Recipient Name,Grant Total Amount,Grant Fiscal Year,Grant Duration,Grant Program Area,Grant Primary Subject,Grant Population Served,Grant Support Strategy,Grant Transaction Type,Grant Description
W.K. Kellogg Foundation,NEA Foundation for the Improvement of Education,"750,000",2014,2.5 months,Not Specified,Teacher education,Ethnic and racial groups; Teachers,Leadership and professional development,Cash grants,"Prepare a diverse cohort of effective teachers to lead a transformed teaching profession focused on diversity, equity and cultural competency by participating in the National Education Association’s leadership initiative"
Bill & Melinda Gates Foundation,Empower Schools,"655,874",2014,1 month,Not Specified,Elementary and secondary education,Children and youth; Students,"Capacity-building and technical assistance; Policy, advocacy and systems reform; Systems reform; Research; Program support",Cash grants,For set of pilot activities designed to increase the number of high-quality school seats in Massachusetts by leveraging flexibilities with Common Core instruction
Barr Foundation,Interaction Institute for Social Change,"600,000",2014,1 month,Not Specified,Public transportation,Adults; Ethnic and racial groups; Low-income people,Program support,Cash grants,"For Go Boston 2030, initiative to envision a transportation future for Boston for the next 5, 10 and 15 years"
The Klarman Family Foundation,Year Up,"600,000",2014,1 year,Not Specified,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,To expand access to critical services and enrichment opportunities in Greater Boston
W.K. Kellogg Foundation,Partnership for Working Families,"600,000",2014,2 months,Not Specified,Recycling,Adults; Ethnic and racial groups; Working poor,Program support,Cash grants,To expand and realize the potential of a waste and recycling economy that focuses on the highest possible economic and environmental outcomes for urban communities and workers of color
Kern Family Foundation Inc,Building Excellent Schools Inc,"588,493",2014,1 year,Not Specified,Educational management,Children and youth; Ethnic and racial groups; Low-income people; Students,Management and leadership development,Cash grants,For Leaders for Emerging Networks of Schools
Foundation to Promote Open Society,Root Cause Institute,"550,000",2014,1 month,Not Specified,Leadership development,Men and boys; People of African descent,Capacity-building and technical assistance; Convening,Cash grants,"To continue providing capacity building activities for the Institute for Black Male Achievement as well as infrastructure activities ($500,000) and to organize a convening that brings together funders and BMA innovators ($50,000)"
"Strategic Grant Partners, Inc.",Brooke Schools Foundation,"548,423",2014,1 year,Not Specified,Charter school education,Children and youth; Ethnic and racial groups; Low-income people; Students,Capacity-building and technical assistance; Building acquisitions,Cash grants,To help secure new facility and for capacity building
The Klarman Family Foundation,"Hyde Square Task Force, Inc.","540,500",2014,1 year,Not Specified,Community improvement,Children and youth; Ethnic and racial groups; Low-income people,Program support,Cash grants,To expand access to critical services and enrichment opportunities in Greater Boston
Barr Foundation,Dudley Street Neighborhood Initiative,"500,000",2014,2 months,Not Specified,Arts and culture,Ethnic and racial groups; Low-income people,Program support,Cash grants,To integrate arts and culture throughout its organization and support creative placemaking along the Fairmount and Dudley corridors
Barr Foundation,"The Match School Foundation, Inc.","500,000",2014,1.08 months,Not Specified,Charter school education,Children and youth; Ethnic and racial groups; Low-income people; Students,Capital campaigns,Cash grants,For capital campaign
Daniels Fund,Bellwether Education Partners,"500,000",2014,1 year,Not Specified,Educational management,Children and youth; Ethnic and racial groups; Low-income people; At-risk youth; Students,Program support,Cash grants,New Schools New Mexico
Ford Foundation,Dudley Street Neighborhood Initiative,"500,000",2014,2 months,Beyond Current Program Structure,Secondary education,Adolescents; Families; People of African descent; People of European descent; People of Latin American descent; Students,Not Specified,Cash grants,"To develop seamless and coherent career pathways for students in the Boston neighborhoods of Roxbury and North Dorchester through community meetings, learning sessions, focus groups and data analysis"
Ford Foundation,Dudley Street Neighborhood Initiative,"500,000",2014,2 months,Not Specified,Job creation and workforce development,Adolescents; Ethnic and racial groups; Low-income people; At-risk youth; Students,Grassroots organizing; Research; Program support,Cash grants,"To develop seamless and coherent career pathways for students in the Boston neighborhoods of Roxbury and North Dorchester through community meetings, learning sessions, focus groups and data analysis"
The Kresge Foundation,Dudley Street Neighborhood Initiative,"500,000",2014,1.67 months,Arts & Culture/Creative Placemaking/Harvesting Leading Practices,Arts and culture,Ethnic and racial groups; Low-income people,Pilot programs,Cash grants,To expand a pilot project to integrate arts and culture into equitable transit-oriented development along the Fairmount Transit Corridor
The PMK Foundation,Year Up,"500,000",2014,1 year,Not Specified,Adult education,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,Education and Job Training
The Wallace Foundation,Building Educated Leaders for Life Foundation,"500,000",2014,1 year,Not Specified,Out-of-school learning,Children; Ethnic and racial groups; Low-income people; Students,Capacity-building and technical assistance,Cash grants,To support the implementation of business plan for the organization's growth
Walton Family Foundation,Bellwether Education Partners,"495,091",2014,1 year,Not Specified,Education,Children and youth; Low-income people; Students,Program support,Cash grants,Education
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Barr Foundation,Boston Chinatown Neighborhood Center,"400,000",2014,2 months,Not Specified,Family services,Children and youth; Parents; People of African descent; Immigrants; Low-income people,Advocacy; Program support,Cash grants,"For exit grant for Haitian Parent Engagement Project (HPEP), which helps parents become effective, vocal advocates for their children"
Ford Foundation,Americans for the Arts,"400,000",2014,1 month,Beyond Current Program Structure,Teacher education,People of African descent; People of Latin American descent; Alaskan Natives; American Indians; Teachers; Artists and performers,Not Specified,Cash grants,"For the Turnaround Arts Initiative, a project to use arts education programming to help address pervasive problems found in high poverty, chronically-underperforming schools"
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"The Harry and Jeanette Weinberg Foundation, Inc.",Family Health Center Of Worcester Inc,"400,000",2014,1 month,Not Specified,Health care clinics,Ethnic and racial groups; Low-income people,Building and renovations,Cash grants,To support the renovation of this organization's main health center
Not Specified,Year Up,"400,000",2014,1 year,Not Specified,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,Unrestricted
The Robert Wood Johnson Foundation,Conversation Media Group US,"400,000",2014,2 months,Not Specified,Ethnic and racial minority rights,Not Specified,Not Specified,Cash grants,"For funds for 2014 communications activities that will (1) promote the Culture of Health; (2) support program portfolios, including Bridging Health and Health Care, Catalyzing Demand for Healthy Places and Practices, Eliminating Health Disparities, Leadership, and Strengthening Vulnerable Children and Families; (3) address communications needs of the Robert Wood Johnson Foundation's signature grantees; (4) continue to advance initiatives to support the goals of our Childhood Obesity, Coverage, Human Capital, Value, and New Jersey teams; (5) support ongoing development of and strategic improvements to the Foundation's website, RWJF.org; and (6) support our use of other social-media and interactive tools and platforms"
The Pinkerton Foundation,Bell Foundation Inc.,"390,000",2014,1 year,Not Specified,Out-of-school learning,Children; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,For operating support
"Surdna Foundation, Inc.",Interise,"375,000",2014,3 months,Strong Local Economies,Employment,Ethnic and racial groups; Low-income people,Program support,Cash grants,"To increase job creation and small business growth by expanding networks, developing anchor procurement strategies, and researching small business challenges."
"Gem Foundation, Inc.","The Match School Foundation, Inc.","350,000",2014,1 year,Not Specified,Organ and tissue banks,Children and youth; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,Education
The Reeder Foundation,Teach Plus,"330,000",2014,1 year,Not Specified,Elementary and secondary education,Children and youth; Ethnic and racial groups; Low-income people; Students; Teachers,General support,Cash grants,Unrestricted
"Bank of America Charitable Foundation, Inc.",Year Up,"325,000",2014,1 year,Not Specified,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,General support; Program support,Cash grants,Program/operating support
The Boston Foundation,Bottom Line,"322,647",2014,1 year,Education,College preparation,Adolescents; Ethnic and racial groups; Economically disadvantaged people; Students,General support,Cash grants,For general operating/unrestricted support
"J. A. & Kathryn Albertson Foundation, Inc.",Bellwether Education Partners,"314,028",2014,1 year,Not Specified,Elementary and secondary education,Children and youth; Ethnic and racial groups; Low-income people; At-risk youth; Students,General support,Cash grants,Not Specified
W.K. Kellogg Foundation,New England Blacks in Philanthropy,"306,000",2014,4.92 months,Not Specified,Philanthropy,Children and youth; Families; People of African descent,Financial sustainability; Donor collaborations; Research; Program support,Cash grants,"To engage African American donors across the Boston region to increase their giving toward issues that affect vulnerable children and families by increasing research, giving circles and individual giving vehicles"
Amelia Peabody Charitable Fund,Freedom House,"300,000",2014,1 year,Not Specified,Education services,Children and youth; Ethnic and racial groups; Low-income people; Students,Building and renovations,Cash grants,For restoration
Barr Foundation,Alternatives for Community and Environment,"300,000",2014,2.25 months,Not Specified,Public transportation,Ethnic and racial groups; Low-income people,Program support,Cash grants,For work in Dudley area on Transit Development without Displacement
Barr Foundation,Friends of Excel Academy Inc,"300,000",2014,1 month,Not Specified,Charter school education,Adolescents; Ethnic and racial groups; Immigrants; Low-income people; Students,Capital campaigns,Cash grants,For capital campaign for Excel Academy Charter High School
Barr Foundation,Summer Fund,"300,000",2014,2 months,Not Specified,Camps,Children and youth; Ethnic and racial groups; Low-income people,Institutional evaluations; Program support,Cash grants,"For Summer Fund Camps, Summer Learning and Evaluation. Grant made through fiscal sponsor Associated Grant Makers"
Dentaquest Foundation Inc.,Massachusetts League of Community Health Centers,"300,000",2014,1 year,Not Specified,Dental care,Low-income people,Program support,Cash grants,To improve oral health
Richard K. & Nancy L. Donahue Charitable Foundation,UTEC,"300,000",2014,1 year,Not Specified,Human rights,Adolescent girls,General support,Cash grants,Unrestricted
"Strategic Grant Partners, Inc.",Summer Search Boston,"300,000",2014,1 year,Not Specified,Youth organizing,Adolescents; Ethnic and racial groups; Low-income people; Students,Fundraising,Cash grants,To help build a funding base
Not Specified,Not Specified,"300,000",2014,1 year,Education,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,For general operating support
Richard & Susan Smith Family Foundation,Steppingstone Foundation,"276,128",2014,1 year,Not Specified,College preparation,Children and youth; Ethnic and racial groups; Low-income people; Students,Not Specified,Cash grants,Not Specified
High Meadows Foundation,The Food Project,"275,000",2014,1 year,Not Specified,Sustainable agriculture,Adolescents; Ethnic and racial groups; Low-income people,Program support,Cash grants,Payment for support of program to grow healthy crops
The Edgerley Family Foundation,Year Up,"275,000",2014,1 year,Not Specified,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Not Specified,Cash grants,Charitable
Trefler Foundation,Year Up,"266,000",2014,1 year,Not Specified,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,Unrestricted charitable gift
Richard & Susan Smith Family Foundation,City on A Hill Foundation Inc,"260,000",2014,1 year,Not Specified,Secondary education,Adolescents; People of African descent; People of Latin American descent; Low-income people; Students,Not Specified,Cash grants,Not Specified
The Joyce Foundation,Bellwether Education Partners,"253,000",2014,1 month,Not Specified,Educational management,Teachers,Program support,Cash grants,"To support expansion of its work on teacher pension reform issues through key policy reports, and to seed work on teacher preparation/licensure policy reform"
Richard & Susan Smith Family Foundation,"Hyde Square Task Force, Inc.","250,500",2014,1 year,Not Specified,Community improvement,Children and youth; Ethnic and racial groups; Low-income people,Not Specified,Cash grants,Not Specified
Adelson Family Foundation,Americans for Peace and Tolerance,"250,000",2014,1 year,Not Specified,Diversity and intergroup relations,Ethnic and racial groups; Religious groups,General support,Cash grants,For general support
Barr Foundation,African Community Economic Development of NE,"250,000",2014,2 months,Not Specified,Immigrant services,People of African descent; Immigrants; Refugees and displaced people; Low-income people,Capacity-building and technical assistance,Cash grants,For organizational capacity-building
Eli Lilly and Company Foundation,Teach Plus,"250,000",2014,1 year,Not Specified,Teacher education,Children and youth; Ethnic and racial groups; Low-income people; Students; Teachers,Faculty and staff development; Program support,Cash grants,For T3 Initiative
Ford Foundation,Urban Edge,"250,000",2014,2 months,Beyond Current Program Structure,Business education,Families; Low-income people,Not Specified,Cash grants,"To expand multi-benefit access services at low-income housing sites across the Boston metropolitan area through subgrants to housing providers, and developing and marketing a replicable business model"
Ford Foundation,Urban Edge,"250,000",2014,2 months,Not Specified,Urban development,Ethnic and racial groups; Low-income people,Regranting; Marketing; Program support,Cash grants,"To expand multi-benefit access services at low-income housing sites across the Boston metropolitan area through subgrants to housing providers, and developing and marketing a replicable business model"
Highland Street Foundation,Year Up,"250,000",2014,1 year,Not Specified,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,For educational programming.
One8 Foundation,Friends of Excel Academy Inc,"250,000",2014,1 year,Not Specified,Charter school education,Preteens; Ethnic and racial groups; Immigrants; Low-income people; Students,Not Specified,Cash grants,For Education
Philippe and Ana Laffont Family Foundation,Year Up,"250,000",2014,1 year,Not Specified,Job training,Terminally ill people,General support,Cash grants,General charitable purposes
Richard & Susan Smith Family Foundation,KIPP Academy,"250,000",2014,1 year,Not Specified,Charter school education,Children and youth; Ethnic and racial groups; Low-income people; Students,Not Specified,Cash grants,Not Specified
Richard & Susan Smith Family Foundation,Roxbury Prepartory Charter School Foundation Inc,"250,000",2014,1 year,Not Specified,Charter school education,People of African descent; People of Latin American descent; Low-income people; Students,Not Specified,Cash grants,Not Specified
Richard & Susan Smith Family Foundation,Friends of Excel Academy Inc,"250,000",2014,1 year,Not Specified,Charter school education,Preteens; Ethnic and racial groups; Immigrants; Low-income people; Students,Not Specified,Cash grants,Not Specified
Richard & Susan Smith Family Foundation,"The Match School Foundation, Inc.","250,000",2014,1 year,Not Specified,Charter school education,Children and youth; Ethnic and racial groups; Low-income people; Students,Not Specified,Cash grants,Not Specified
Sand Dollar Fund,Resiliency Foundation Inc,"250,000",2014,1 year,Not Specified,Health,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Not Specified,Cash grants,Donation
"State Street Foundation, Inc.","Roca, Inc.","250,000",2014,1 year,Not Specified,Youth services,Adolescent boys; Young men; Ethnic and racial groups; Low-income people; Offenders,Pilot programs,Cash grants,"To provide philanthropic support as part of Social Innovation Financing Pilot (S1F), a partnership between ROCA, the Commonwealth of Massachusetts and Third Sector Capital Partners, aimed at reducing incarceration and increasing employment among the highest-risk 17-24 year old young men in Massachusetts, particularly young men of color from the poorest communities in the state"
"State Street Foundation, Inc.",Action for Boston Community Development,"250,000",2014,1 year,Not Specified,Job creation and workforce development,Adolescents; Young adults; Ethnic and racial groups; Low-income people,Program support,Cash grants,"To support six-week community-based summer jobs program for low-income, at-risk adolescents, ages 14-21, with links to year-round school and career activities"
"State Street Foundation, Inc.",Year Up,"250,000",2014,1 year,Not Specified,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Continuing support; Program support; Scholarships,Cash grants,"To support The Learning Community State Street Scholars, ($200,000), and for Graduate Success ($50,000) career coaching activities"
The Boston Foundation,City on A Hill Foundation Inc,"250,000",2014,1 year,Education,Secondary education,Adolescents; People of African descent; People of Latin American descent; Low-income people; Students,General support,Cash grants,For general operating support
The Evans Family Foundation,"The Match School Foundation, Inc.","250,000",2014,1 year,Not Specified,Charter school education,Low-income people; Students,General support,Cash grants,General support
The Lynch Foundation,KIPP Academy,"250,000",2014,1 year,Not Specified,Charter school education,Children and youth,Program support,Cash grants,Growth fund campaign
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
The Wallace Foundation,Building Educated Leaders for Life Foundation,"250,000",2014,1 year,Not Specified,Out-of-school learning,Children; Ethnic and racial groups; Low-income people; Students,Capacity-building and technical assistance,Cash grants,To support the implementation of business plan for the organization's growth
Walton Family Foundation,Teach Plus,"250,000",2014,1 year,Not Specified,Elementary and secondary education,Children and youth; Ethnic and racial groups; Low-income people; Students; Teachers,Program support,Cash grants,Education
The Pinkerton Foundation,Jumpstart for Young Children,"245,000",2014,1 year,Not Specified,Family services,Children and youth; Children; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,Operating support
Richard & Susan Smith Family Foundation,UTEC,"240,480",2014,1 year,Not Specified,Youth development,Adolescent girls,Program support,Cash grants,Youth
The Vijaya Foundation,Sayagyi U Ba Khin Memorial Trust of Massachusetts Inc,"240,000",2014,1 year,Not Specified,Buddhism,Age Groups; Gender and sexual identity; Ethnic and racial groups; Religious groups; Health,General support,Cash grants,General
The Susan Thompson Buffett Foundation,Cambridge Health Alliance Foundation,"229,722",2014,1 year,Not Specified,Community health care,Ethnic and racial groups; Low-income people,Program support,Cash grants,For project support
"J. A. & Kathryn Albertson Foundation, Inc.",Bellwether Education Partners,"225,000",2014,1 year,Not Specified,Education,Children and youth; Low-income people; Students,General support,Cash grants,General Operating Funds
Richard & Susan Smith Family Foundation,Bottom Line,"225,000",2014,1 year,Not Specified,College preparation,Adolescents; Ethnic and racial groups; Economically disadvantaged people; Students,Not Specified,Cash grants,Youth
Kate B. Reynolds Charitable Trust,Building Educated Leaders for Life Foundation,"205,182",2014,1 year,Not Specified,Out-of-school learning,Children; Ethnic and racial groups; Low-income people; Students,Volunteer development; Program support,Cash grants,WS/FCS and BELL Summer 2014
Ford Foundation,Jobs for the Future,"200,000",2014,1.42 months,Beyond Current Program Structure,Secondary education,People of African descent; People of Latin American descent; Students,Not Specified,Cash grants,For the Pathways State Network to build capacity and to document implementation of early college and/or workplace-based learning examples of more and better learning time
Ford Foundation,Dudley Street Neighborhood Initiative,"200,000",2014,1 month,Not Specified,Community organizing,Ethnic and racial groups; Low-income people,Capacity-building and technical assistance; Research; Program support,Cash grants,"To develop national training modules on community land trusts and shared-equity housing advocacy, and to engage diverse Boston stakeholders in a regional community land trust capacity-building effort"
Ford Foundation,Dudley Street Neighborhood Initiative,"200,000",2014,1 month,Beyond Current Program Structure,Secondary education,Students,Not Specified,Cash grants,"To develop national training modules on community land trusts and shared-equity housing advocacy, and to engage diverse Boston stakeholders in a regional community land trust capacity-building effort"
Ford Foundation,Massachusetts Budget and Policy Center,"200,000",2014,2 months,Civic Engagement and Government,Secondary education,Students,"Policy, advocacy and systems reform",Cash grants,General support for policy research and analysis of state budget and tax issues focused on improving the lives of low- and moderate-income people in Massachusetts
Henry Luce Foundation Inc,Institute of Contemporary Art,"200,000",2014,1 year,Not Specified,Education,People of African descent; Academics,Not Specified,Cash grants,Leap Before You Look Black Mountain College 1933-1957
Richard & Susan Smith Family Foundation,Jewish Vocational Service,"200,000",2014,1 year,Not Specified,Social sciences,Ethnic and racial groups; Immigrants and migrants; Low-income people; Students,Program support,Cash grants,Poverty
Robert & Ardis James Foundation,"Tenacity, Inc.","200,000",2014,1 year,Not Specified,Racquet sports,Children and youth; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,General & unrestricted
The Arthur Vining Davis Foundations,WGBH Educational Foundation,"200,000",2014,1 month,Public Television,Voter education and registration,People of African descent,Public engagement and education; Recordings,Cash grants,For Completion of American Experience's Freedom Summer
The Boston Foundation,Business Advancement and Social Entrepreneurship,"200,000",2014,1 year,Education,Entrepreneurship,Adolescents; People of African descent; People of Latin American descent; Low-income people,General support,Cash grants,For general operating/unrestricted support
Wagner Family Foundation,Year Up,"200,000",2014,1 year,Not Specified,Education,Low-income people,General support,Cash grants,General fund
Barr Foundation,Nurtury,"200,000",2014,1 month,Not Specified,Child care,Infants and toddlers; Children; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,To launch Learning Center at Bromley-Heath Public Housing Development
Henry Luce Foundation Inc,Trustees of Hampshire College,"200,000",2014,1 year,Not Specified,International studies,People of Asian descent,Program support,Cash grants,Activities focused on Asian Studies & the Environment
Keane Family Foundation,New England Historic Geneological Society,"200,000",2014,1 year,Not Specified,Genealogy,People of African descent; Academics,Equal access,Cash grants,Charitable Contribution Unrestricted
"Public Welfare Foundation, Inc.",Massachusetts Institute for a New Commonwealth,"200,000",2014,2 months,Criminal Justice,Courts,Men and boys; Ethnic and racial groups,Program support,Cash grants,For the Massachusetts Criminal Justice Reform Coalition. The funder has identified this grant as explicitly benefiting boys and men of color.
The Arthur Vining Davis Foundations,Cambridge Public Health Commission,"200,000",2014,1 year,Health & Medicine,Patient-centered care,Ethnic and racial groups; Low-income people,Program support,Cash grants,For Integrating mindfulness into the patient-centered medical home
The Stoddard Charitable Trust,Family Health Center Of Worcester Inc,"200,000",2014,1 year,Not Specified,Health care clinics,Children and youth,Capital campaigns,Cash grants,Capital Campaign
Kate B. Reynolds Charitable Trust,Building Educated Leaders for Life Foundation,"192,500",2014,1 year,Not Specified,Out-of-school learning,Adolescents; People of Latin American descent,Volunteer development; Program support,Cash grants,Winston-Salem/Forsyth County Schlools and BELL Summer Scholars Program
Daniels Fund,Building Excellent Schools Inc,"180,000",2014,1 year,Not Specified,Educational management,Children and youth; Ethnic and racial groups; Low-income people; Students,Fellowships,Cash grants,BES Fellows Founding High-Performing Schools in Denver
Barr Foundation,Nurtury,"175,000",2014,1 month,Not Specified,Child care,Infants and toddlers; Children; Ethnic and racial groups; Low-income people; Students,Capacity-building and technical assistance; Data and measurement systems,Cash grants,To plan for a Boston Early Childhood Data Center
Edward Payson George Charitable Trust,South End Community Health Center Inc,"175,000",2014,1 year,Not Specified,Health care clinics,Ethnic and racial groups; Low-income people,Program support,Cash grants,Health care
New Balance Foundation,MetroLacrosse,"175,000",2014,1 year,Not Specified,Sports,At-risk youth,General support,Cash grants,General support
New Balance Foundation,"Tenacity, Inc.","175,000",2014,1 year,Not Specified,Youth organizing,Children and youth; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,General support
"Surdna Foundation, Inc.",Community Labor United,"175,000",2014,2 months,Sustainable Environments,Environment,Ethnic and racial groups; Low-income people,"Policy, advocacy and systems reform",Cash grants,"To continue to support a pathway toward state-level, public-private infrastructure investment that incorporates strong community benefits."
"The Harry and Jeanette Weinberg Foundation, Inc.","The Neighborhood Developers, Inc.","175,000",2014,3 months,Not Specified,Senior services,Seniors; Low-income people,Capital and infrastructure,Cash grants,"To support the expansion of the facility that operates CONNECT, a program that addresses the housing, financial, educational, and employment needs of low-income older adults"
Not Available,Not Available,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Cash grants,"Building an alumni generation, year 3"
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Specified,Not Specified,Not Specified,Not Specified
The Klarman Family Foundation,Boston Youth Symphony Orchestras,"169,500",2014,1 year,Not Specified,Health care access,Adolescents; Substance abusers,Program support,Cash grants,To expand access to critical services and enrichment opportunities in Greater Boston.
Eli & Edythe Broad Foundation,Teach Plus,"165,000",2014,1 year,Not Specified,Human rights,Children and youth; Ethnic and racial groups; Low-income people; Students; Teachers,Program support,Cash grants,National advocacy support
Richard & Susan Smith Family Foundation,Boston Debate League,"155,000",2014,1 year,Not Specified,Civics for youth,Preteens; Adolescents; Ethnic and racial groups; Students,Program support,Cash grants,Youth
Mukti Fund,"Theater Offensive, Inc.","150,740",2014,1 year,Not Specified,LGBTQ rights,Students,Not Specified,Cash grants,Further education purposes
The Klarman Family Foundation,Bottom Line,"150,100",2014,1 year,Not Specified,Health care access,Substance abusers,Program support,Cash grants,To expand access to critical services and enrichment opportunities in Greater Boston.
Altman Foundation,Bell Foundation Inc.,"150,000",2014,1 year,Not Specified,Out-of-school learning,Children; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,"To be divided as follows: $100,000 to help support programmatic activities for scholars in BELL Summer in New York City; and $50,000 to help build regional capacity and sustainability"
Amelia Peabody Charitable Fund,Museum of African American History,"150,000",2014,1 year,Not Specified,Black studies,People of African descent,Not Specified,Cash grants,Restoration
Barr Foundation,Centro Latino,"150,000",2014,1 month,Not Specified,Immigrant services,People of Latin American descent; Immigrants,Capacity-building and technical assistance; Financial sustainability,Cash grants,To support Center's stabilization and sustainability
Barr Foundation,Four Corners Action Coalition Inc,"150,000",2014,1.25 months,Not Specified,Community organizing,Ethnic and racial groups; Low-income people,General support; Capacity-building and technical assistance,Cash grants,For transit access work for organizational development and general operating support
BayTree Fund,New England Historic Geneological Society,"150,000",2014,1 year,Not Specified,Historic preservation,People of African descent; Academics,Presentations and productions,Cash grants,Preservation of historical documents
"Blue Cross Blue Shield of Massachusetts Foundation, Inc.",Dimock Community Health Center,"150,000",2014,1 year,Not Specified,Health care clinics,Ethnic and racial groups; Low-income people,Program support,Cash grants,"Funding to integrate behavioral health and primary care in pediatrics, adult medicine, and OB/GYN areas of the health center In addition, to support development of the EHR system and data collection and analysls on patients throughout the center"
Charles H. Farnsworth Trust,"South Cove Manor Nursing and Rehabilitation Center, Inc.","150,000",2014,2 months,Health Care\Nursing\Nursing Facilities,Nursing homes,Seniors,Capacity-building and technical assistance,Cash grants,For new 141-bed facility in Quincy for Asian older adults
Devonshire Foundation,InnerCity Weightlifting,"150,000",2014,1 year,Not Specified,Sports and recreation,Low-income people,Program support,Cash grants,First year ofthree year pledge
Hildreth Stewart Charitable Foundation,La Vida,"150,000",2014,1 year,Not Specified,Graduate and professional education,People of Latin American descent; Catholics,General support,Cash grants,General use
"Leon Lowenstein Foundation, Inc.",Building Educated Leaders for Life Foundation,"150,000",2014,1 year,Not Specified,Out-of-school learning,Children; Ethnic and racial groups; Low-income people; Students,Not Specified,Cash grants,Charitable
"Nancy Foss Heath & Richard B. Heath Educational, Cultural, and Environmental Foundation",Trustees of Reservations,"150,000",2014,1 year,Not Specified,Arts and culture,Indigenous peoples,Program support,Cash grants,Funding of projects and outreach programs
