Grant Funder Name,Grant Recipient Name,Grant Total Amount,Grant Fiscal Year,Grant Duration,Grant Program Area,Grant Primary Subject,Grant Population Served,Grant Support Strategy,Grant Transaction Type,Grant Description
Edward Payson George Charitable Trust,Fenway Sidney Borum Community Health Center,"510,000",2016,1 year,Not Specified,Health care clinics,Low-income people,Not Specified,Cash grants,Health care
"Abrams Foundation, Inc.",Jewish Vocational Service,"500,000",2016,1 year,Not Specified,Employment,Immigrants and migrants; Low-income people,Capital campaigns,Cash grants,Capital campaign
ECMC Foundation,Bottom Line,"500,000",2016,1 year,Not Specified,College preparation,Children and youth; Adolescents; Ethnic and racial groups; Economically disadvantaged people; Students,Not Specified,Cash grants,College success
Ford Foundation,Empower Schools,"500,000",2016,2 months,Beyond Current Program Structure,Elementary and secondary education,Children and youth; Ethnic and racial groups; Low-income people; Students,Faculty and staff development; Program expansion,Cash grants,"Final general support to expand and improve learning time in schools across Massachusetts, accelerate student achievement, support teacher development, and enable a well-rounded education"
Jewish Community Foundation of the Jewish Federation Council of Greater Los Angeles,Year Up,"500,000",2016,1 year,Not Specified,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,General support
Silicon Valley Community Foundation,Year Up,"500,000",2016,1 year,Not Specified,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Not Specified,Cash grants,Not Specified
Silicon Valley Community Foundation,Year Up,"500,000",2016,1 year,Not Specified,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Not Specified,Cash grants,Not Specified
Symantec Foundation,Year Up,"500,000",2016,1 year,Not Specified,Information communications technology,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Not Specified,Cash grants,Sponsorship of cyber security career track
The Kresge Foundation,Full Frame Initiative Inc.,"500,000",2016,2 months,Not Specified,Social rights,Ethnic and racial groups; Low-income people,General support,Cash grants,"To strengthen and expand an integrated, person-centered approach to practices and policies in the Human Services Sector"
"The Liberty Mutual Foundation, Inc.","Artists for Humanity, Inc.","500,000",2016,1 year,Not Specified,Arts services,Adolescents; Ethnic and racial groups; Low-income people,Not Specified,Cash grants,Discretionary
The Valhalla Charitable Foundation,Building Educated Leaders for Life Foundation,"500,000",2016,1 year,Not Specified,Out-of-school learning,Children; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,General support
Vanguard Charitable Endowment Program,"The Match School Foundation, Inc.","500,000",2016,1 year,Education,Charter school education,Children and youth; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,General support
Wagner Family Foundation,Year Up,"500,000",2016,1 year,Not Specified,Economic development,Low-income people,Capital campaigns; Financial sustainability,Cash grants,He opportunity campaign
Barr Foundation,Teach Plus,"495,000",2016,3 months,Not Specified,Education,Children and youth; Ethnic and racial groups; Low-income people; Students; Teachers,Fellowships,Cash grants,To support the Massachusetts Statewide Teaching Policy Fellowship
Trefler Foundation,Year Up,"491,000",2016,1 year,Not Specified,Philanthropy,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,Unrestricted charitable gift
"Mass General Brigham, Inc.",Massachusetts League of Community Health Centers,"462,053",2016,1 year,Not Specified,Benefits planning,Low-income people,Program support,Cash grants,COMMUNITY BENEFIT PROGRAM
MASSACHUSETTS SERVICE ALLIANCE,Phoenix Charter Academy,"454,851",2016,1 year,Not Specified,Charter school education,Adolescents; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,Support community service/volunteerism programs and projects
New Profit,"The Match School Foundation, Inc.","450,000",2016,1 year,Not Specified,Organ and tissue banks,Teachers,Program expansion,Cash grants,Program expansion
"Rockefeller Philanthropy Advisors, Inc.",Boston Chinatown Neighborhood Center,"450,000",2016,1 year,Not Specified,Arts and culture,Children and youth; People of East Asian descent; Immigrants and migrants; Immigrants; Low-income people,Program support,Cash grants,"Through multidisciplinary site-specific cultural programming, the Boston Chinatown Neighborhood Center will preserve and build community bonds between new and old community members as part of its investment in its community wellness and resiliency, which"
"Tower Family Fund, Inc.",KIPP Academy,"450,000",2016,1 year,Not Specified,Charter school education,Children and youth,Building and renovations,Cash grants,3Rowth fund - boston school building
United Way of Massachusetts Bay and Merrimack Valley,Nurtury,"448,947",2016,1 year,Not Specified,Community and economic development,Infants and toddlers; Children; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,Community Impact
Richard & Susan Smith Family Foundation,Dimock Community Health Center,"446,820",2016,1 year,Not Specified,Health care clinics,Ethnic and racial groups; Low-income people,Not Specified,Cash grants,Medical
"Combined Jewish Philanthropies of Greater Boston, Inc.",Jewish Vocational Service,"434,388",2016,1 year,Not Specified,Job creation and workforce development,Ethnic and racial groups; Immigrants and migrants; Low-income people; Students,Not Specified,Cash grants,DAF-employment
EDUCAUSE,Center for Collaborative Education,"427,500",2016,1 year,Not Specified,Elementary and secondary education,Adolescents; Low-income people; Students,Program support,Cash grants,College readiness and completion
"Family League of Baltimore City, Inc.",Building Educated Leaders for Life Foundation,"427,491",2016,1 year,Not Specified,Out-of-school learning,Children; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,General support
Richard & Susan Smith Family Foundation,"Asian American Civic Association, Inc.","413,634",2016,1 year,Not Specified,Immigrant services,People of East Asian descent; Immigrants; Low-income people,Not Specified,Cash grants,General Welfare
Arnold Ventures,Bellwether Education Partners,"400,144",2016,1 year,Not Specified,Pensions,Teachers,Public engagement and education; Information and Referral,Cash grants,To provide information about teachers' pension systems.
Fidelity Investments Charitable Gift Fund,"The Match School Foundation, Inc.","400,000",2016,1 year,Not Specified,Organ and tissue banks,Children and youth; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,Not Specified
Richard & Susan Smith Family Foundation,Jewish Vocational Service,"400,000",2016,1 year,Not Specified,Job creation and workforce development,Ethnic and racial groups; Immigrants and migrants; Low-income people; Students,Not Specified,Cash grants,General Welfare
"Silicon Schools Fund, Inc.",Building Excellent Schools Inc,"400,000",2016,1 year,Not Specified,Community and economic development,Children and youth; Ethnic and racial groups; Low-income people; Students,Capacity-building and technical assistance,Cash grants,Support of two entrepreneurs working to launch schools
The Boston Foundation,Bottom Line,"400,000",2016,1 year,Not Specified,College preparation,Adolescents; Ethnic and racial groups; Economically disadvantaged people; Students,Not Specified,Cash grants,Not Specified
The Boston Foundation,Year Up,"400,000",2016,1 year,Not Specified,Employment,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,Not Specified
The Reeder Foundation,Year Up,"400,000",2016,1 year,Not Specified,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,Unrestricted
W.K. Kellogg Foundation,NAACP Legal Defense and Educational Fund,"395,000",2016,2 months,Not Specified,Elementary and secondary education,Children and youth; People of African descent; Students,Capacity-building and technical assistance; Program support,Cash grants,To support capacity-building at the state and local levels to encourage selection and implementation of School Climate and Safety as an accountability indicator under the Every Student Succeeds Act (ESSA)
Schwab Charitable,Beacon Academy Inc,"378,050",2016,1 year,Not Specified,Elementary and secondary education,Children and youth; Ethnic and racial groups; Economically disadvantaged people; Low-income people; Students,Program support,Cash grants,Education
The Jaket Foundation,Youth Enrichment Services (YES),"376,899",2016,1 year,Not Specified,Youth organizing,Children and youth; Ethnic and racial groups; Low-income people,Program support,Cash grants,2016 Gift
"Interlaken Foundation, Inc.",The Trustees of Reservations,"375,000",2016,1 year,Not Specified,Arts and culture,Low-income people,Land acquisitions,Cash grants,For organization's charitable use
"Third Sector New England, LLC",Steps to Success,"371,785",2016,1 year,Not Specified,Education services,Children and youth; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,Regrant 07/31/15
"The Partnership Project, Inc.",National Religious Partnership for the Environment,"366,310",2016,1 year,Not Specified,Natural resources,Ethnic and racial groups,Program support,Cash grants,Program support
Neighborhood Reinvestment Corporation,"The Neighborhood Developers, Inc.","360,500",2016,1 year,Not Specified,Housing development,Ethnic and racial groups; Immigrants; Low-income people,Not Specified,Cash grants,Expendable grants
The Robert Wood Johnson Foundation,"Community Servings, Inc.","358,040",2016,2.5 months,Not Specified,Food security,Ethnic and racial groups; Low-income people; People with disabilities; People with HIV/AIDS,Program evaluations; Program support,Cash grants,Null
Boston Medical Center Corporation,Cambridge Public Health Commission,"356,946",2016,1 year,Not Specified,Community health care,Ethnic and racial groups; Low-income people,Not Specified,Cash grants,Subaward
Bill & Melinda Gates Foundation,Education First,"350,000",2016,2 months,Not Specified,Teacher education,Children and youth; Students; Teachers,Capacity-building and technical assistance; Network-building and collaboration,Cash grants,"To seed, scale and communicate about new and successful teacher leadership opportunities in Massachusetts in order to impact a greater number of educators, resulting in better classroom instruction, enhanced collaboration, and improved student achievement"
"Strategic Grant Partners, Inc.",UTEC,"350,000",2016,1 year,Not Specified,Youth organizing,Adolescents; Young adults; Ethnic and racial groups; Immigrants and migrants; Low-income people,Program support,Cash grants,Youth development
The Plumsock Fund,Maya Educational Foundation,"336,547",2016,1 year,Not Specified,Education,Women and girls; Indigenous peoples; Students,General support,Cash grants,General operating support
"Bank of America Charitable Foundation, Inc.",Year Up,"333,334",2016,1 year,Not Specified,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,Program/Operating Support
"Bank of America Charitable Foundation, Inc.",Year Up,"333,333",2016,1 year,Not Specified,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,Program/Operating Support
"The Liberty Mutual Foundation, Inc.","Artists for Humanity, Inc.","333,333",2016,1 year,Not Specified,Arts services,Adolescents; Ethnic and racial groups; Low-income people,Continuing support,Cash grants,Multi-year
"Rodman Ride for Kids, Inc.",Mass Mentoring Partnership,"325,847",2016,1 year,Not Specified,Benefits planning,Adolescents; Low-income people,Program support,Cash grants,To benefit disadvantaged youths in massachusetts
Fred Hutchinson Cancer Research,Fenway Sidney Borum Community Health Center,"324,545",2016,1 year,Not Specified,Communicable disease control,Low-income people,Research and evaluation,Cash grants,Vaccine and infectious disease
The Leona M. and Harry B. Helmsley Charitable Trust,"Community Servings, Inc.","323,614",2016,1 year,Not Specified,Food aid,Ethnic and racial groups; Low-income people; People with disabilities; People with HIV/AIDS,Capacity-building and technical assistance; Program expansion,Cash grants,Capacity building and service expansion
"Mass General Brigham, Inc.",Upham's Corner Community Center,"315,464",2016,1 year,Not Specified,Benefits planning,Children and youth; Ethnic and racial groups; Low-income people,Program support,Cash grants,COMMUNITY BENEFIT PROGRAM
MASSACHUSETTS SERVICE ALLIANCE,Mass Mentoring Partnership,"314,237",2016,1 year,Not Specified,Youth mentoring,Children and youth; Family relationships; Ethnic and racial groups; Social and economic status,Program support,Cash grants,Support community service/volunteerism programs and projects
The Boston Foundation,Dudley Street Neighborhood Initiative,"310,000",2016,1 year,Not Specified,Community organizing,Ethnic and racial groups; Low-income people,Not Specified,Cash grants,Not Specified
Holdeen Ten Funds,Unitarian Universalist Association,"303,665",2016,1 year,Not Specified,Interfaith,Low-income people,General support,Cash grants,General support grant
Barr Foundation,Brooke Schools Foundation,"300,000",2016,1 month,Not Specified,Education,Children and youth; Ethnic and racial groups; Low-income people; Students,Capacity-building and technical assistance,Cash grants,To support start-up operating costs at the Brooke High School
Barr Foundation,Boston Debate League,"300,000",2016,2 months,Not Specified,Civics for youth,Preteens; Adolescents; Ethnic and racial groups; Students,General support,Cash grants,To provide general operating support
Charles Hayden Foundation,Summer Search NYC,"300,000",2016,1 year,Not Specified,College preparation,Adolescents; Low-income people; Students,Program support,Cash grants,Toward the support of their College Access and College Success programming at Summer Search Boston and Summer Search New York City
Charles Stewart Mott Foundation,Massachusetts Afterschool Partnership,"300,000",2016,2 months,Education / Advancing Afterschool / Quality and Innovation,Reading promotion,Children and youth; People of Latin American descent; Economically disadvantaged people; Students,"Network-building and collaboration; Policy, advocacy and systems reform; Research; Program support; Curriculum development",Cash grants,"This grant will support the Massachusetts Afterschool Partnership to create a program that will become a national model to increase literacy proficiency for Latino English language learner students. Specifically, the Massachusetts Afterschool Partnership will: 1) create a literacy curriculum for use in afterschool and summer; 2) develop national policy recommendations for English language learner students; 3) conduct a data-driven analysis of the program model; and 4) design and promote a national best practices model. The overall goal of this project is to help close the educational achievement gap between lower-income English language learner students and higher-income English speaking peers"
Fidelity Investments Charitable Gift Fund,Salem State University Foundation,"300,000",2016,1 year,Not Specified,University education,People of African descent,General support,Cash grants,Not Specified
Fidelity Investments Charitable Gift Fund,"The Match School Foundation, Inc.","300,000",2016,1 year,Not Specified,Organ and tissue banks,Children and youth; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,Not Specified
Silicon Valley Community Foundation,Teach Plus,"300,000",2016,1 year,Not Specified,Teacher education,Children and youth; Ethnic and racial groups; Low-income people; Students; Teachers,Not Specified,Cash grants,Not Specified
The Owens Family Foundation,Wellington Management Company Charitable Fund,"300,000",2016,1 year,Not Specified,Graduate and professional education,Ethnic and racial groups,General support,Cash grants,Unrestricted contribution
The Pershing Square Foundation,Year Up,"300,000",2016,1 year,Not Specified,Employment,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Capacity-building and technical assistance,Cash grants,Organizational growth plan
United Way of Massachusetts Bay and Merrimack Valley,College Bound Dorchester,"290,228",2016,1 year,Not Specified,Human services,Children and youth; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,Community Impact
"Real Colegio Complutense, Inc.",President and Fellows of Harvard College,"289,608",2016,1 year,Not Specified,Graduate and professional education,People of Latin American descent; Researchers,Research; Individual development,Cash grants,"s must be affiliated with a Spanish university. They must be graduate students or, in the case of the research grants, academic staff PHD holders. Preference is given to Spaniards from the Universidad Complutense de Madrid and Member Universities with signed agreements with this university."
"GreenLight Fund, Inc.",Year Up,"287,478",2016,1 year,Not Specified,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,General support
Massachusetts League of Community Health Centers Inc,Family Health Center Of Worcester Inc,"286,500",2016,1 year,Not Specified,Health care clinics,Ethnic and racial groups; Low-income people,Not Specified,Cash grants,Various
Epker-Sinha Foundation,Steppingstone Foundation,"280,180",2016,1 year,Not Specified,College preparation,At-risk youth,General support,Cash grants,Unrestricted
MASSACHUSETTS SERVICE ALLIANCE,"Tenacity, Inc.","278,060",2016,1 year,Not Specified,Philanthropy,Children and youth; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,Support community service/volunteerism programs and projects
Fidelity Investments Charitable Gift Fund,Year Up,"275,000",2016,1 year,Not Specified,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,Not Specified
Tortora Sillcox Family Foundation,Bottom Line,"275,000",2016,1 year,Not Specified,College preparation,Adolescents; Ethnic and racial groups; Economically disadvantaged people; Students,Not Specified,Cash grants,Not Specified
W.K. Kellogg Foundation,Center for Independent Documentary,"265,368",2016,3 months,Not Specified,Diversity and intergroup relations,American Indians; Students; Teachers,Program support; Recordings,Cash grants,To increase social and emotional capacity for healing around structural bias and institutionalized racism using documentary DAWNLAND as a lever for changing perceptions about Native people while also using companion learning resources and workshops for teachers and students to reinforce truth and reconciliation
Technical Training Foundation,Notre Dame Cristo Rey High School,"258,000",2016,1 year,Not Specified,Secondary education,Adolescents; People of Latin American descent; Catholics; Low-income people; Students,Internships; Student aid,Cash grants,For Student interns and work study/tuition assistance
"Combined Jewish Philanthropies of Greater Boston, Inc.",Roxbury Latin School,"257,005",2016,1 year,Not Specified,Secondary education,Children and youth; People of Latin American descent,Program support,Cash grants,DAF - Education
Devonshire Foundation,College Bound Dorchester,"255,000",2016,1 year,Not Specified,Education services,Children and youth; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,Third installment of three year pledge
Bill & Melinda Gates Foundation,Bellwether Education Partners,"251,543",2016,3 months,Not Specified,Early childhood education,Infants and toddlers; Children; Low-income people; Students,Program evaluations,Cash grants,To support policy and program analysis related to Head Start and high quality Pre-k
Amelia Peabody Charitable Fund,Dimock Community Health Center,"250,000",2016,1 year,Not Specified,Health care clinics,Ethnic and racial groups; Low-income people,Capital campaigns,Cash grants,Capital
