Grant Funder Name,Grant Recipient Name,Grant Total Amount,Grant Fiscal Year,Grant Duration,Grant Program Area,Grant Primary Subject,Grant Population Served,Grant Support Strategy,Grant Transaction Type,Grant Description
Ford Foundation,"Living Cities, Inc., The National Community Development Initiative","2,000,000",2018,1 month,Cities and States,Business and industry,Ethnic and racial groups,General support,Cash grants,General support to harness the collective power of philanthropy and financial institutions to improve the lives of low-income people and the cities where they live
The Klarman Family Foundation,Year Up,"1,750,000",2018,1 year,Funder Collaborations and Bold Bets; Civic & Community,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,"For unrestricted operating support, including Boston operations"
Ewing Marion Kauffman Foundation,Interise,"1,732,726",2018,1 year,Entrepreneurship,Business education,People of Latin American descent,Program expansion,Cash grants,Support to expand the StreetWise MBA program and deploy complementary programs to support Latino business owners and small businesses as they build diverse teams.
Barr Foundation,Year Up,"1,700,000",2018,3 months,Not Specified,Out-of-school learning,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Individual development,Cash grants,To support general operations
Fidelity Investments Charitable Gift Fund,"The Match School Foundation, Inc.","1,641,000",2018,1 year,Not Specified,Charter school education,Children and youth; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,For grant recipient's exempt purposes
Community Care Cooperative Inc,Brockton Neighborhood Health Center,"1,619,802",2018,1 year,Not Specified,Health care clinics,Ethnic and racial groups; Low-income people,Program support,Cash grants,Dsrip - aco model management
"Chicago Beyond, Inc.",OneGoal,"1,575,000",2018,1 year,Not Specified,Equal opportunity in education,Ethnic and racial groups; Undocumented immigrants; Economically disadvantaged people; Students,Program support,Cash grants,College program for underserved students
"The Marcus Foundation, Inc.",Year Up,"1,500,000",2018,1 year,Not Specified,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,General support; Pilot programs,Cash grants,For general operating support and demonstration project
W.K. Kellogg Foundation,American Indian College Fund,"1,500,000",2018,2 months,Not Specified,STEM education,Children; Students,Faculty and staff development; Program support,Cash grants,"improve student outcomes by developing and training early childhood teachers in science, technology, engineering and math content areas"
Community Care Cooperative Inc,Edward M Kennedy Community Healthcenter Inc,"1,448,699",2018,1 year,Not Specified,Health care clinics,Ethnic and racial groups; Immigrants; Low-income people,Program support,Cash grants,Dsrip - aco model management
Simons Foundation,Broad Institute,"1,392,782",2018,1 year,Autism Research,Science,People of African descent; People with diseases and illnesses,Research,Cash grants,Neurodev: Genetic Characterization of Neurodevelopmental Disorders in African Populations
Fidelity Investments Charitable Gift Fund,Year Up,"1,362,061",2018,1 year,Not Specified,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,For grant recipient's exempt purposes
The Andrew W. Mellon Foundation,Peabody Essex Museum,"1,300,000",2018,5 months,Not Specified,Leadership development,American Indians,Continuing support; Program support; Fellowships,Cash grants,For training of a cohort of emerging leaders for Native American cultural institutions
Yawkey Foundation II,Boston Foundation,"1,276,513",2018,1 year,Not Specified,Higher education,Ethnic and racial groups; Low-income people; Students,Scholarships,Cash grants,Four-year scholarship program for underserved students from Massachusetts and South Carolina
Fidelity Investments Charitable Gift Fund,Steppingstone Foundation,"1,238,550",2018,1 year,Not Specified,College preparation,Children and youth; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,For grant recipient's exempt purposes
Deerbrook Charitable Trust,"The B.E.L.L. Foundation, Inc.","1,200,000",2018,1 year,Not Specified,Out-of-school learning,Children; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,General exempt purpose
"Masshire Hampden County Workforce Board, Inc.",New England Farm Workers Council,"1,184,151",2018,1 year,Not Specified,Education,People of Latin American descent; Migrant workers; Low-income people,Not Specified,Cash grants,EDUCATION & TRAINING
Charles and Lynn Schusterman Family Philanthropies,Teach Plus,"1,100,000",2018,1 year,Not Specified,Alumni relations,Children and youth; Ethnic and racial groups; Low-income people; Students; Teachers,Fellowships,Cash grants,New Mexico Fellowship & Alumni Support
Yawkey Foundation II,Dimock Community Foundation Inc,"1,100,000",2018,1 year,Not Specified,Out-patient medical care,People with diseases and illnesses,Capacity-building and technical assistance; Building and renovations,Cash grants,Renovation of the Acute and capacity building for Care Treatment Facility the related program
Walton Family Foundation,Teach Plus,"1,073,878",2018,1 year,Not Specified,Education,Children and youth; Ethnic and racial groups; Low-income people; Students; Teachers,Program support,Cash grants,Education Improvement
Walton Family Foundation,Bellwether Education Partners,"1,037,450",2018,1 year,Not Specified,Education,Children and youth; Students,Program support,Cash grants,Education Improvement
"Rodman Ride for Kids, Inc.","Epiphany School, Inc.","1,030,081",2018,1 year,Not Specified,Environmental education,Preteens; Ethnic and racial groups; Protestants; Low-income people; Students,Not Specified,Cash grants,To benefit disadvantaged youths
Aphorism Foundation,"YarnLabs, Inc.","1,000,000",2018,1 year,Not Specified,Media justice,Economically disadvantaged people; Researchers,General support; Equal access,Cash grants,General support
New York Life Foundation,Building Educated Leaders for Life Foundation,"1,000,000",2018,1 year,Not Specified,Out-of-school learning,Children; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,Educ. General
"Public Welfare Foundation, Inc.",Vera Institute of Justice,"1,000,000",2018,2 months,Not Specified,Higher education,Low-income people; Incarcerated people,"Policy, advocacy and systems reform; Equal access; Program support; Student aid",Cash grants,Advance state-base advocacy strategies for increased access to prison-based college education in target states; with the goal of removing the federal ban on access to Pell.
"State Street Foundation, Inc.",Bottom Line,"1,000,000",2018,1 year,Educational Programs - Youth Post-Secondary Credentials,Equal opportunity in education,Young adults,Equal access; Individual development,Cash grants,Boston WINs
"State Street Foundation, Inc.",Year Up,"1,000,000",2018,1 year,Employment Programs - Youth Job Readiness and Employment,Youth mentoring,Unemployed people,Individual development,Cash grants,Boston WINs
The Gordon and Llura Gund Foundation,Full Frame Initiative Inc.,"1,000,000",2018,1 year,Not Specified,Social rights,Ethnic and racial groups; Low-income people,Not Specified,Cash grants,Not Specified
The Wyss Foundation,Year Up,"1,000,000",2018,1 year,Not Specified,Philanthropy,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Not Specified,Cash grants,Charitable Contribution
"Stephen M. Gorn Family Foundation, Inc.",Sayagyi U Ba Khin Memorial Trust of Massachusetts Inc,"970,032",2018,1 year,Not Specified,Antidiscrimination,Age Groups; Gender and sexual identity; Ethnic and racial groups; Religious groups; Health,General support,Cash grants,Unrestricted
MASSACHUSETTS SERVICE ALLIANCE,Jumpstart for Young Children,"940,405",2018,1 year,Not Specified,Child welfare,Infants and toddlers,Volunteer development; Program support,Cash grants,SUPPORT COMMUNITY SERVICE/VOLUNTEERISM PROGRAMS AND PROJECTS
Holdeen Fund 47-10,Unitarian Universalist Association,"875,275",2018,1 year,Not Specified,Interfaith,Gender and sexual identity; Ethnic and racial groups; Religious groups; Immigrants and migrants,General support,Cash grants,GENERAL OPERATING
"Strategic Grant Partners, Inc.",KIPP Massachusetts,"850,000",2018,1 year,Not Specified,Educational management,Ethnic and racial groups; Economically disadvantaged people; Students,Not Specified,Cash grants,Education
The Bodman Foundation,Martha's Vineyard Museum Inc,"815,000",2018,1 year,Not Specified,Museums,Children and youth; Adults; Family relationships; Ethnic and racial groups; Social and economic status,General support,Cash grants,General support
The Reeder Foundation,Year Up,"800,000",2018,1 year,Not Specified,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,Unrestricted
National Philanthropic Trust,"The Right Question Institute, Inc.","775,000",2018,1 year,Not Specified,Benefits planning,Ethnic and racial groups; Low-income people,Not Specified,Cash grants,"Public, societal benefit"
"Accenture Foundation, Inc.",Year Up,"750,000",2018,1 year,Not Specified,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Not Specified,Cash grants,Global giving program
Barr Foundation,Education Trust,"750,000",2018,3 months,Not Specified,Philanthropy and public policy,Children and youth; Ethnic and racial groups; Low-income people; Students,Coalition building,Cash grants,To build a diverse equity coalition in Massachusetts
Barr Foundation,College Bound Dorchester,"750,000",2018,3 months,Not Specified,Equal opportunity in education,Children and youth; Ethnic and racial groups; Low-income people; Students,General support; Equal access,Cash grants,To support general operations
ECMC Foundation,Bottom Line,"750,000",2018,1 year,College Success,Student retention,Young adults,"Policy, advocacy and systems reform; Program support",Cash grants,"Bottom Line provides one-on-one guidance for low-income and first-generation students from the college application process until college graduation to close the opportunity and achievement gaps. Bottom Line seeks support to redesign, codify, and expand its career-readiness programming. They will hire on a National Director of Program Design and adapt the regional staffing structures, including adding new positions focused solely on the local job markets, employer relationships and sourcing opportunities for students. The goal is to ensure that at least 75% of Bottom Line college graduates find career relevant employment within six months of earning a degree. ECMCF funding will provide support for professional staff, training, and travel."
The Boston Foundation,Boston Plan for Excellence (BPE),"750,000",2018,1 year,Education,Elementary and secondary education,Children and youth; Adults; Ethnic and racial groups; Low-income people; At-risk youth; Students,General support,Cash grants,For general/unrestricted support
The Robert Wood Johnson Foundation,Vera Institute of Justice,"750,000",2018,3 months,Not Specified,Corrections and penology,Young adults; Incarcerated people,"Policy, advocacy and systems reform; Program support",Cash grants,To support a cross-country learning exchange with leaders from the U.S. prison system learning from experts from the German criminal justice system to find and adapt ideas to help transform the U.S. prison system for young incarcerated adults and thus address a major social isolation challenge affecting millions in the United States
The KIPP Foundation,KIPP Massachusetts,"704,603",2018,1 year,Not Specified,Charter school education,Children and youth; People of African descent; Economically disadvantaged people,Program expansion,Cash grants,"NETWORK GROWTH & SUSTAINABILITY, KIPP THROUGH COLLEGE, OTHER"
National Philanthropic Trust,Camp Harbor View Foundation Inc.,"673,500",2018,1 year,Not Specified,Benefits planning,Children and youth; Adolescents; Family relationships; Ethnic and racial groups; Economically disadvantaged people; Low-income people; At-risk youth,Not Specified,Cash grants,"Public, societal benefit"
"Beth Israel Deaconess Medical Center, Inc.",Dimock Community Health Center,"670,125",2018,1 year,Not Specified,HIV/AIDS,People with HIV/AIDS; Substance abusers,"Policy, advocacy and systems reform; Program support",Cash grants,Primary care/ healthcare access/ HIV support/ substance abuse support
"Beth Israel Deaconess Medical Center, Inc.",Fenway Sidney Borum Community Health Center,"628,500",2018,1 year,Not Specified,Health care access,Ethnic and racial groups; Low-income people,Equal access; Program support,Cash grants,Primary care/ healthcare access
Wagner Family Foundation,Year Up,"625,000",2018,1 year,Not Specified,Employment,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,The opportunity campaign
The Boston Foundation,Bottom Line,"611,573",2018,1 year,Education,College preparation,Children and youth; Adolescents; Ethnic and racial groups; Economically disadvantaged people; Students,General support,Cash grants,For general/unrestricted support
Community Care Cooperative Inc,Dimock Community Health Center,"548,802",2018,1 year,Not Specified,Health care clinics,Ethnic and racial groups; Low-income people,Program support,Cash grants,Dsrip - aco model management
Fidelity Foundation,"Artists for Humanity, Inc.","533,750",2018,1 year,Not Specified,Humanities,Adolescents; Ethnic and racial groups; Low-income people,Land acquisitions,Cash grants,Land Acquisition
Barr Foundation,EdVestors,"525,000",2018,3 months,Not Specified,Equal opportunity in education,Ethnic and racial groups,Network-building and collaboration; Program expansion,Cash grants,To support Boston Public School Arts Expansion Phase IV
"Family League of Baltimore City, Inc.",Building Educated Leaders for Life Foundation,"510,514",2018,1 year,Not Specified,Out-of-school learning,Children; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,GENERAL SUPPORT
"A. James & Alice B. Clark Foundation, Inc.",Year Up,"500,000",2018,1 year,Not Specified,Job creation and workforce development,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Not Specified,Cash grants,Workforce development programming in dc
"Abrams Foundation, Inc.",Year Up,"500,000",2018,1 year,Not Specified,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Not Specified,Cash grants,Opportunity campaign
"Bank of America Charitable Foundation, Inc.",Year Up,"500,000",2018,1 year,Not Specified,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Public engagement and education; Advocacy; Equal access,Cash grants,Program/operating support
Harvey Goodstein Charitable Trust,Our Generation Speaks,"500,000",2018,1 year,Not Specified,Human services,Ethnic and racial groups,Not Specified,Cash grants,Genral
"Koha Foundation, Inc.","GreenLight Fund, Inc.","500,000",2018,1 year,Not Specified,Economic development,Children and youth,Not Specified,Cash grants,"To provide support to help transform the lives of children, youth and families in high poverty urban areas by creating local infrastructure and a annual process to identify critical needs, import innovative entrepreneurial programs that can have a significant impact and galvanize local support to help programs reach and sustain impact in the urban areas."
Richard K. & Nancy L. Donahue Charitable Foundation,UTEC,"500,000",2018,1 year,Not Specified,Youth development,Adolescents; Young adults; Ethnic and racial groups; Immigrants and migrants; Low-income people,General support,Cash grants,Unrestricted
Silicon Valley Community Foundation,Year Up,"500,000",2018,1 year,Two-Year Colleges,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Not Specified,Cash grants,Not Specified
Silicon Valley Community Foundation,Year Up,"500,000",2018,1 year,Two-Year Colleges,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Not Specified,Cash grants,Not Specified
"Stephen and Tabitha King Foundation, Inc.",New England Historic Geneological Society,"500,000",2018,1 year,Not Specified,Genealogy,People of African descent; Academics,General support,Cash grants,To help activities of var public char inst which are exempt under 501 (C)(3)
The Boston Foundation,Jumpstart for Young Children,"500,000",2018,1 year,Education,Early childhood education,Children and youth; Children; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,For general/unrestricted support
The Klarman Family Foundation,Brooke Schools Foundation,"500,000",2018,1 year,Other Grants and Contributions; Civic & Community,Secondary education,Adolescents; Ethnic and racial groups; Low-income people; Students,Building and renovations,Cash grants,For building the auditorium as part of the Campaign for Brooke High School (Capital)
The Kresge Foundation,Alliance for a Just Society,"500,000",2018,2 months,Human Services; Advancing Policy Solutions,Employment,Ethnic and racial groups; Low-income people,General support,Cash grants,"To support efforts that ensure just wages, improved working conditions, and better career pathways for restaurant workers."
"The Liberty Mutual Foundation, Inc.",Steppingstone Foundation,"500,000",2018,1 year,Not Specified,College preparation,Children and youth; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,For Youth Leadership and College Success Program
The Manton Foundation,"Community Servings, Inc.","500,000",2018,1 year,Not Specified,Food aid,Ethnic and racial groups; Low-income people; People with disabilities; People with HIV/AIDS,Program support,Cash grants,For Food Campus ($5oOk outright and $500K as a 1 1 challenge)
The Manton Foundation,"Community Servings, Inc.","500,000",2018,1 year,Not Specified,Food aid,Ethnic and racial groups; Low-income people; People with disabilities; People with HIV/AIDS,Program support,Cash grants,For Food Campus ($500K outright and $500K as a 1 1 challenge)
The Mooney-Reed Charitable Foundation,Inner-City Scholarship Fund,"500,000",2018,1 year,Not Specified,Education,Children and youth; Ethnic and racial groups; Catholics; Low-income people; At-risk youth; Students,General support,Cash grants,General fund
Workday Foundation,Year Up,"500,000",2018,1 year,Not Specified,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,For Career and Technical Training Program
CCBA TAI TUNG MANAGEMENT INC,Chinese Consolidated Benevolent Association of New England,"490,000",2018,1 year,Not Specified,Housing development,People of East Asian descent,Program support,Cash grants,"To develop affordable housing and supportive services for the chinese community in boston, massachusetts."
Geoffrey Gund Foundation,Martha's Vineyard Museum Inc,"470,000",2018,1 year,Not Specified,Education,Children and youth; Adults; Family relationships; Ethnic and racial groups; Social and economic status,Program support,Cash grants,Contribution-Funding for Organization's Exempt Purposes
New Profit,"The Match School Foundation, Inc.","450,000",2018,1 year,Not Specified,Charter school education,Teachers,Program expansion,Cash grants,Program expansion
Jewish Federation Council of Greater La,Jewish Vocational Service,"422,046",2018,1 year,Not Specified,Job creation and workforce development,Ethnic and racial groups; Immigrants and migrants; Low-income people; Students,General support,Cash grants,General support
Cullen Foundation,Building Excellent Schools Inc,"412,000",2018,1 year,Not Specified,Human rights,Children and youth; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,General operations
William & Sheila Konar Foundation,Building Excellent Schools Inc,"412,000",2018,1 year,Not Specified,Educational management,Children and youth; Ethnic and racial groups; Low-income people; Students,Fellowships,Cash grants,Start-up Program & Fellowship
Aven Foundation,Year Up,"400,000",2018,1 year,Not Specified,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,For general support
Barr Foundation,"Massachusetts Advocates for Children, Inc.","400,000",2018,2 months,Not Specified,Equal opportunity in education,At-risk youth; Victims of crime and abuse,General support,Cash grants,To support general operations
Silicon Valley Community Foundation,Year Up,"400,000",2018,1 year,Two-Year Colleges,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Not Specified,Cash grants,Not Specified
Skywords Family Foundation,Steiner Books,"400,000",2018,1 year,Not Specified,Community improvement,Ethnic and racial groups,Program support,Cash grants,To further charitable and educational purposes in the local community.
The Boston Foundation,Year Up,"400,000",2018,1 year,Employment,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,For general/unrestricted support
The Edna McConnell Clark Foundation,Nonprofit Information Networking Association,"400,000",2018,1 year,Not Specified,Nonprofits,Adults; Ethnic and racial groups; Academics; Activists,Financial sustainability; Network-building and collaboration; Publications,Cash grants,To support the continued expansion and long-term sustainability of Nonprofit Quarterty
The Jaket Foundation,Camp Harbor View Foundation Inc.,"400,000",2018,1 year,Not Specified,Camps,Children and youth; Adolescents; Family relationships; Ethnic and racial groups; Economically disadvantaged people; Low-income people; At-risk youth,General support,Cash grants,Unrestricted
The Kresge Foundation,Dudley Street Neighborhood Initiative,"400,000",2018,2 months,Health; Community-Driven Solutions,Housing development,Ethnic and racial groups; Low-income people,Program support,Cash grants,"To implement innovative, community-generated, multi-sector solutions to housing instability that improve housing affordability and quality."
The William and Flora Hewlett Foundation,Voter Choice Education Fund Inc,"400,000",2018,2 months,Initiatives/Madison Initiative/Campaigns and Elections,Voter education and registration,Ethnic and racial groups,Public engagement and education; Program support,Cash grants,"Massachusetts remains one of the least competitive electoral environments in the US, and since the Maine statewide victory in November 2016ranked choice voting is seen as a key way to encourage greater competitiveness.Voter Choice Education Fund (VCEF) is a non-partisan, politically diverse, non-profit dedicated to increasing public visibility for electoral reforms that increase the range of choice on the ballot and produce fairer outcomes. VCEF educates the Massachusetts public about Ranked Choice Voting (RCV), with a goal of making Massachusetts elections more competitive and fair by encouraging the participation of more candidates and parties, and by ensuring outcomes that more accurately reflect the will of the voters. This grant will support an education campaign to inform key stakeholders and the general public about RCV."
The Boston Foundation,College Bound Dorchester,"384,176",2018,1 year,Education,Education services,Children and youth; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,For general/unrestricted support
Neighborhood Reinvestment Corporation,Urban Edge,"378,700",2018,1 year,Not Specified,Housing for the homeless,Ethnic and racial groups; Low-income people,Not Specified,Cash grants,Expendable grants
Neighborhood Reinvestment Corporation,"The Neighborhood Developers, Inc.","377,425",2018,1 year,Not Specified,Shelter and residential care,Ethnic and racial groups; Immigrants; Low-income people,Not Specified,Cash grants,Expendable grants
United Way of Massachusetts Bay and Merrimack Valley,Nurtury,"376,547",2018,1 year,Not Specified,Community and economic development,Infants and toddlers; Children; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,Community Impact
Barr Foundation,Massachusetts Budget and Policy Center,"375,000",2018,3 months,Not Specified,Public integrity,Adults; People of Asian descent; Low-income people,General support; Ethics and accountability; Equal access; Research,Cash grants,To provide core operating support
Greater Washington Community Foundation,"The B.E.L.L. Foundation, Inc.","375,000",2018,1 year,Not Specified,Out-of-school learning,Children; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,General Support
Richard & Susan Smith Family Foundation,Edward Brooke Charter School,"375,000",2018,1 year,Education,Charter school education,Students,Building and renovations; Program expansion,Cash grants,"Multi-year capital grant to support the construction of a permanent facility for Brooke High School on its existing Mattapan campus, which will ultimately serve 600 students, bringing the total number of students network-wide to 2,200 by 2022."
The Panjandrum Foundation,Fenway Sidney Borum Community Health Center,"365,000",2018,1 year,Not Specified,Health care clinics,Low-income people,Research and evaluation,Cash grants,HEALTH PLANNING STUDY
Barr Foundation,Community Labor United,"350,000",2018,1 month,Not Specified,Public transportation,Families; Working poor,Capacity-building and technical assistance; Advocacy,Cash grants,To support transit justice advocacy
"Public Welfare Foundation, Inc.",Community Labor United,"350,000",2018,2 months,Not Specified,Organized labor,Ethnic and racial groups; Low-income people,General support; Program support,Cash grants,"150,000 for general support and $200,000 for program support"
"The Hollyhock Foundation, Inc.",Brooke Schools Foundation,"350,000",2018,1 year,Not Specified,Secondary education,Adolescents; Ethnic and racial groups; Low-income people; Students; Teachers,Faculty and staff development; Program support,Cash grants,Support for High School and Associate Teachers Program
"The Peter and Carmen Lucia Buck Foundation, Inc.",Uncommon Schools,"350,000",2018,1 year,Not Specified,Educational management,Children and youth; Academics,General support,Cash grants,General Operating Support
"Rodman Ride for Kids, Inc.",Mass Mentoring Partnership,"347,518",2018,1 year,Not Specified,Youth mentoring,Economically disadvantaged people,Not Specified,Cash grants,To benefit disadvantaged youths
Fidelity Investments Charitable Gift Fund,Yard Inc,"341,683",2018,1 year,Not Specified,Dance,Ethnic and racial groups,General support,Cash grants,For grant recipient's exempt purposes
"National Urban League, Inc.","Urban League of Springfield, Inc.","328,135",2018,1 year,Not Specified,Human services,People of African descent,Program support,Cash grants,See part iv
Technical Training Foundation,Notre Dame Cristo Rey High School,"321,000",2018,1 year,Not Specified,Secondary education,Adolescents; People of Latin American descent; Catholics; Low-income people; Students,Internships; Student aid,Cash grants,Student interns & work study/tuition assistance
Holdeen Ten Funds,Unitarian Universalist Association,"314,069",2018,1 year,Not Specified,Human rights,Gender and sexual identity; Ethnic and racial groups; Religious groups; Immigrants and migrants,General support,Cash grants,GENERAL OPERATING
Massachusetts League of Community Health Centers Inc,Family Health Center Of Worcester Inc,"310,719",2018,1 year,Not Specified,Health care clinics,Ethnic and racial groups; Low-income people,Not Specified,Cash grants,Various
"Bank of America Charitable Foundation, Inc.",Year Up,"300,000",2018,1 year,Not Specified,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,Program/operating support
Barr Foundation,Lenny Zakim Fund,"300,000",2018,3 months,Not Specified,Philanthropy and public policy,Ethnic and racial groups,Regranting; Technical assistance,Cash grants,To provide financial support and technical assistance to grassroots organizations addressing social and economic injustice
Ford Foundation,Massachusetts Budget and Policy Center,"300,000",2018,3 months,Civic Engagement and Government,Community organizing,Ethnic and racial groups; Low-income people,General support,Cash grants,"Tie-off general support for research, analysis and grassroots partnerships to educate the public and promote progressive tax and budget policies in Massachusetts"
Hartford Foundation for Public Giving,Initiative for A Competitive Inner City Inc,"300,000",2018,1 year,COMMY/ECON DEVEL,Urban development,Ethnic and racial groups; Low-income people,Not Specified,Cash grants,Not Specified
The Nathan Cummings Foundation,Join for Justice Inc.,"300,000",2018,1 month,"Voice, Creativity and Culture",Judaism,Adults; Jewish people,General support,Cash grants,"To support JOIN for Justice (JOIN) for its work training and mentoring Jewish leaders, rabbis, and community organizers to build Jewish constituencies that shift cultural understanding and motivate action on social justice issues. JOIN will be successful if its strategic review provides new clarity for the organization's future, if it invests in alumni to deepen impact of past trainees, builds Clergy Fellowships in New Jersey, North Carolina, and Georgia, holds a national gathering of rabbis in March 2019, and begins a process to integrate Jews of Color into all levels of the organization."
Fidelity Investments Charitable Gift Fund,Americans for Peace and Tolerance,"293,155",2018,1 year,Not Specified,Diversity and intergroup relations,Ethnic and racial groups; Religious groups,General support,Cash grants,For grant recipient's exempt purposes
Neighborhood Reinvestment Corporation,Nuestra Comunidad Development Corporation,"290,000",2018,1 year,Not Specified,Urban development,People of Latin American descent; Low-income people,Capital and infrastructure,Cash grants,Equity capital
"Mass General Brigham, Inc.",Massachusetts League of Community Health Centers,"277,230",2018,1 year,Not Specified,Community health care,Ethnic and racial groups; Social and economic status,Program support,Cash grants,Community benefit program
