Grant Funder Name,Grant Recipient Name,Grant Total Amount,Grant Fiscal Year,Grant Duration,Grant Program Area,Grant Primary Subject,Grant Population Served,Grant Support Strategy,Grant Transaction Type,Grant Description
"State Street Foundation, Inc.",Bottom Line,"1,000,000",2015,1 year,Not Specified,Educational management,Low-income people; Students,Program support,Cash grants,"Grant to support Boston WINs, a muilti-year strategy with the goal of accelerating impact on education and work force development across the city of Boston"
"State Street Foundation, Inc.",Year Up,"1,000,000",2015,1 year,Not Specified,Job creation and workforce development,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,"For Boston WINs, a multi-year strategy with the goal of accelerating impact on education and workforce development across the city of Boston"
"State Street Foundation, Inc.","Boston Private Industry Council, Inc.","1,000,000",2015,1 year,Not Specified,Job creation and workforce development,Young adults; Ethnic and racial groups; Low-income people; Academics; Students,Program support,Cash grants,"For Boston WINs, a multi-year strategy with the goal of accelerating impact on education and workforce development across the city of Boston"
The Jaket Foundation,Year Up,"1,000,000",2015,1 year,Not Specified,Job training,Children and youth,Not Specified,Cash grants,5 Year pledge
The Jenesis Group,Year Up,"1,000,000",2015,1 year,Not Specified,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,General operating expense
The JPMorgan Chase Foundation,Year Up,"925,000",2015,1 year,Not Specified,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,Charitable program activities support
Unitarian Universalist Veatch Program at Shelter Rock,Unitarian Universalist Association,"910,000",2015,1 year,Unitarian Universalism,Interfaith,Gender and sexual identity; Ethnic and racial groups; Religious groups; Immigrants and migrants,Program support,Cash grants,To support UUA programs increasing denominational growth and furthering social justice.
"Beth Israel Deaconess Medical Center, Inc.",Fenway Sidney Borum Community Health Center,"900,518",2015,1 year,Not Specified,Health,Low-income people,Research,Cash grants,RESEARCH - SUBAWARD
"State Street Foundation, Inc.",Asian Sisters Participating In Reaching Excellence Inc,"875,000",2015,1 year,Not Specified,Education services,Adolescent girls; Young women; People of Asian descent; Immigrants and migrants; Low-income people,Not Specified,Cash grants,"Grant to support Boston WINs, a multi-year stiategy with the goal of accelerating impact on educaiton and workforce development across the city of Boston"
Holdeen Fund 47-10,Unitarian Universalist Association,"851,695",2015,1 year,Not Specified,Interfaith,Low-income people,General support,Cash grants,General support grant
Yawkey Foundation II,Dimock Community Foundation Inc,"850,000",2015,1 year,Not Specified,Out-patient medical care,Ethnic and racial groups; Low-income people,Capital and infrastructure,Cash grants,Facility improvement project
W.K. Kellogg Foundation,Boston University,"769,472",2015,3 months,Not Specified,Public health,Adolescent boys; People of African descent,Program support,Cash grants,"Promote health in young black men and their future children by risk-specific tailored interventions, behavior change and healthcare engagement by developing/testing the Gabe System that uses online conversational agents"
Michael & Susan Dell Foundation,Building Excellent Schools Inc,"766,263",2015,1 year,Not Specified,Charter school education,Students,Program creation,Cash grants,Building Excellent Schools - Charter School Incubation and Launch
Charles and Lynn Schusterman Family Philanthropies,Teach Plus,"750,000",2015,1 year,Not Specified,Teacher education,Children and youth; Ethnic and racial groups; Low-income people; Students; Teachers,General support,Cash grants,General Operating Support
Ford Foundation,Single Stop,"750,000",2015,1 month,Beyond Current Program Structure,Secondary education,People of Asian descent; People of African descent; People of European descent; People of Latin American descent,General support,Cash grants,"Final general support to build capacity to harness America's most effective anti-poverty tools, including higher education, to create economic mobility for low-income families and individuals"
The Andrew W. Mellon Foundation,Peabody Essex Museum,"750,000",2015,3 months,Arts and Cultural Heritage,Art museums,American Indians,Faculty and staff development,Cash grants,To support training of a cohort of emerging leaders for Native American cultural institutions
"Beth Israel Deaconess Medical Center, Inc.",Dimock Community Health Center,"704,000",2015,1 year,Not Specified,Health care access,Ethnic and racial groups; Low-income people,Program support,Cash grants,PRIMARY CARE/HEALTHCARE ACCESS
Richard & Susan Smith Family Foundation,Jewish Vocational Service,"700,000",2015,1 year,Not Specified,Job creation and workforce development,Ethnic and racial groups; Immigrants and migrants; Low-income people; Students,Not Specified,Cash grants,General Welfare
The Kresge Foundation,Neighborhood Of Affordable Housing (NOAH),"660,000",2015,3 months,Not Specified,Climate change,Ethnic and racial groups; Low-income people,Public engagement and education; Program support,Cash grants,To implement the Climate CARE (Community Action for Resilience through Engagement) program to improve the resilience and well-being of residents in East Boston
Technical Training Foundation,Waldorf School at Moraine Farm Inc,"644,002",2015,1 year,Not Specified,Elementary and secondary education,Children and youth; People of Latin American descent; Students,Marketing,Cash grants,"Faculty, marketing, spanish, science, etc."
Barr Foundation,Community Labor United,"600,000",2015,2 months,Not Specified,Labor rights,Activists,Advocacy; Coalition building,Cash grants,Green Justice Coalition
The Klarman Family Foundation,Year Up,"600,000",2015,1 year,Not Specified,Health care access,Substance abusers,Program support,Cash grants,To expand access to critical services and enrichment opportunities in Greater Boston.
"Family League of Baltimore City, Inc.",Building Educated Leaders for Life Foundation,"596,084",2015,1 year,Not Specified,Out-of-school learning,Children; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,General support
Ford Foundation,Prosperity Now,"562,500",2015,2 months,Beyond Current Program Structure,Business education,Not Specified,General support,Cash grants,Core support for the I’m HOME program to transform the manufactured housing marketplace so that the owners of manufactured homes enjoy the same benefits of homeownership as owners of site-built homes
"Beth Israel Deaconess Medical Center, Inc.",Dimock Community Health Center,"523,125",2015,1 year,Not Specified,Health care access,Ethnic and racial groups; Low-income people,Program support,Cash grants,PRIMARY CARE/HEALTHCARE ACCESS
Edward Payson George Charitable Trust,Fenway Sidney Borum Community Health Center,"510,000",2015,1 year,Not Specified,Health care clinics,Low-income people,Not Specified,Cash grants,Health care
Ewing Marion Kauffman Foundation,Interise,"500,000",2015,1 year,Not Specified,Entrepreneurship,Children and youth,Program support,Cash grants,Support the expansion of the Interise Streetwise MBA program to new cities and increase the capacity of the program by a minimum of 10 cohorts per year.
Richard & Susan Smith Family Foundation,Boston Plan for Excellence (BPE),"500,000",2015,1 year,Not Specified,Performing arts education,Children and youth; Adults; Ethnic and racial groups; Low-income people; At-risk youth; Students,Public engagement and education; Program support,Cash grants,Education
"Strategic Grant Partners, Inc.",UTEC,"500,000",2015,1 year,Not Specified,Youth development,Adolescent girls,Not Specified,Cash grants,Launch integrated model
The Boston Foundation,"Artists for Humanity, Inc.","500,000",2015,1 year,Human Services,Arts services,Adolescents; Ethnic and racial groups; Low-income people,General support,Cash grants,For general operating support or unrestricted support
The Kresge Foundation,Jewish Vocational Service,"500,000",2015,1.92 months,Not Specified,Job creation and workforce development,Ethnic and racial groups; Immigrants and migrants; Low-income people; Students,General support,Cash grants,To advance the organizational effectiveness and resilience of an organization that is helping people increase their education and skills for greater economic security and mobility
The Ludcke Foundation,Alma Del Mar Foundation Inc,"500,000",2015,1 year,Education,Education,Students,Program support,Cash grants,Not Specified
The PMK Foundation,Year Up,"500,000",2015,1 year,Not Specified,Adult education,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,Education and Job Training
The Valhalla Charitable Foundation,Building Educated Leaders for Life Foundation,"500,000",2015,1 year,Not Specified,Out-of-school learning,Children; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,General support
Arnold Ventures,"The Match School Foundation, Inc.","475,520",2015,1 year,Not Specified,Teacher education,Children and youth; Ethnic and racial groups; Low-income people; Students,Capacity-building and technical assistance,Cash grants,To help establish a training program for novice teachers
"HAP, Inc.",New England Farm Workers Council,"470,560",2015,1 year,Not Specified,Organized labor,People of Latin American descent; Migrant workers; Low-income people,Not Specified,Cash grants,Housing search & stabilization counseling
United Way of Massachusetts Bay and Merrimack Valley,Nurtury,"468,732",2015,1 year,Not Specified,Community and economic development,Infants and toddlers; Children; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,Community Impact
New Profit,"The Match School Foundation, Inc.","450,000",2015,1 year,Not Specified,Organ and tissue banks,Teachers,Program expansion,Cash grants,Program expansion
"Tower Family Fund, Inc.",KIPP Academy,"450,000",2015,1 year,Not Specified,Charter school education,Children and youth,Building and renovations,Cash grants,Growth fund - boston school building
The Jaket Foundation,Mother Caroline Academy &Education Center,"425,000",2015,1 year,Not Specified,Elementary education,Children,Program support,Cash grants,"400K fourth grade, $25K for grade 5"
"The Harry and Jeanette Weinberg Foundation, Inc.","The B.E.L.L. Foundation, Inc.","400,000",2015,2 months,Not Specified,Out-of-school learning,Children and youth; Low-income people,General support,Cash grants,To support the general operations of this organization that provides academic and social enrichment through after-school and summer programs for elementary and middle school children of low-income families
The Reeder Foundation,Year Up,"400,000",2015,1 year,Not Specified,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,Unrestricted
W.K. Kellogg Foundation,NUESTRAS RAICES INC,"400,000",2015,2 months,Not Specified,"Agriculture, fishing and forestry",Ethnic and racial groups; Low-income people,Program support,Cash grants,"Increase access to fair, affordable, green, healthy food, in Holyoke, Mass., By supporting a cultural farm-to-school program and cultural crop work"
"The Hillside Foundation, Inc.","Martha's Vineyard Hospital, Inc.","397,100",2015,1 year,Not Specified,Hospital care,Age Groups; Ethnic and racial groups; Social and economic status; Health,Capital and infrastructure,Cash grants,Support the purchase of a 3d tomosynthesis unit
Trefler Foundation,Year Up,"391,000",2015,1 year,Not Specified,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,Unrestricted charitable gift
Tides Foundation,WGBH Educational Foundation,"386,010",2015,1 year,Not Specified,Television,Children and youth; Ethnic and racial groups; Low-income people,"Policy, advocacy and systems reform; Advocacy; Systems reform; Equal access; Recordings",Cash grants,General support
Barr Foundation,Massachusetts Budget and Policy Center,"375,000",2015,3 months,Not Specified,Public finance,Adults; People of Asian descent; Low-income people,General support,Cash grants,Core Operating Support
Community Foundation of Greater Memphis,Building Excellent Schools Inc,"375,000",2015,1 year,Educational,Educational management,Children and youth; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,"Memphis RISE Adademy, Strengthen Progs."
"Third Sector New England, LLC",Steps to Success,"368,636",2015,1 year,Not Specified,Education services,Low-income people,Not Specified,Cash grants,Grant
"Third Sector New England, LLC",Steps to Success,"368,636",2015,1 year,Not Specified,Education services,Low-income people,Not Specified,Cash grants,Grant
Boston Medical Center Corporation,Cambridge Public Health Commission,"358,933",2015,1 year,Not Specified,Community health care,Ethnic and racial groups; Low-income people,Not Specified,Cash grants,Subaward
Ford Foundation,Community Labor United,"350,000",2015,2 months,Beyond Current Program Structure,Employment,Adolescents,Program support,Cash grants,"Tie-off support for the Public Transit-public Good campaign for transit-focused regional planning and sustainable development, and to build the capacity of the Immigrant Worker Center Collaborative"
"Gem Foundation, Inc.","The Match School Foundation, Inc.","350,000",2015,1 year,Not Specified,Organ and tissue banks,Children and youth; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,Education
The Leona M. and Harry B. Helmsley Charitable Trust,"Community Servings, Inc.","343,587",2015,1 year,Not Specified,Food delivery,Seniors; People with disabilities; People with diseases and illnesses; People with HIV/AIDS,Capacity-building and technical assistance,Cash grants,Capacity building and service expansion
Bill & Melinda Gates Foundation,Education First Consulting,"335,030",2015,0.67 months,Not Specified,Educational management,Children and youth; Ethnic and racial groups; Low-income people; Students; Teachers,Capacity-building and technical assistance; Faculty and staff development; Network-building and collaboration; Research,Cash grants,To support the establishment of a Massachusetts-based teacher engagement coalition that takes responsibility for developing a collective teacher engagement strategy and deeper analysis of existing organizations working in this space
"The Liberty Mutual Foundation, Inc.","Artists for Humanity, Inc.","333,333",2015,1 year,Not Specified,Arts services,Adolescents; Ethnic and racial groups; Low-income people,Capital and infrastructure,Cash grants,Capital Funding
"The Liberty Mutual Foundation, Inc.","Artists for Humanity, Inc.","333,333",2015,1 year,Not Specified,Arts services,Adolescents; Ethnic and racial groups; Low-income people,Capital and infrastructure,Cash grants,Capital Funding
The Lynch Foundation,"Artists for Humanity, Inc.","325,000",2015,1 year,Not Specified,Humanities,Adolescents; Ethnic and racial groups; Low-income people,Capital campaigns,Cash grants,Capital campaign
Boston Medical Center Corporation,Youth and Family Enrichment Services,"322,414",2015,1 year,Not Specified,Family services,Children and youth; People of African descent; Immigrants and migrants; Low-income people,Program support,Cash grants,Subaward
Herman Dana Charitable Trust,"Combined Jewish Philanthropies of Greater Boston, Inc.","319,993",2015,1 year,Not Specified,Ethnic and racial minority rights,Jewish people,Regranting,Cash grants,Chartiable
United Way of Massachusetts Bay and Merrimack Valley,College Bound Dorchester,"312,550",2015,1 year,Not Specified,Education services,Children and youth; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,Community Impact
Holdeen Ten Funds,Unitarian Universalist Association,"306,085",2015,1 year,Not Specified,Interfaith,Low-income people,General support,Cash grants,General support grant
"Rodman Ride for Kids, Inc.",Mass Mentoring Partnership,"303,892",2015,1 year,Not Specified,Benefits planning,Adolescents; Low-income people,Program support,Cash grants,To benefit disadvantaged youths in massachusetts
Dentaquest Foundation Inc.,Massachusetts League of Community Health Centers,"300,800",2015,1 year,Not Specified,Dental care,Low-income people,Program support,Cash grants,To improve oral health
Blue Shield of California Foundation,Full Frame Initiative Inc.,"300,000",2015,1.5 months,Patient Engagement / Client Experience,Social rights,Ethnic and racial groups; Low-income people,Capacity-building and technical assistance,Cash grants,"To implement a capacity-building institute for cohorts of practitioners, policymakers and survivors from three CA communities to use strengths-based strategies and new tools to develop and implement community-specific change efforts that will make systems' response to violence more survivor-centered."
Countess Moira Charitable Foundation,Boston College,"300,000",2015,1 year,Not Specified,Health,Academics,Not Specified,Cash grants,Nursing care and supplies for Central American regions
Fidelity Investments Charitable Gift Fund,Nativity Boston,"300,000",2015,1 year,Not Specified,Middle school education,Preteen boys; Ethnic and racial groups; Low-income people; Students,Not Specified,Cash grants,Not Specified
Ford Foundation,Dudley Street Neighborhood Initiative,"300,000",2015,2 months,Beyond Current Program Structure,Housing development,Ethnic and racial groups; Low-income people,Program support,Cash grants,Tie-off support to develop a national community land trust and community-building curriculum and engage diverse Boston stakeholders in a regional community land trust capacity-building effort
Ford Foundation,Massachusetts Institute of Technology,"300,000",2015,1.33 months,Beyond Current Program Structure,Civic participation,Students; Researchers,General support,Cash grants,Core support for the Governance Lab to work with civil society and government practitioners to deepen the rigor and impact of citizen engagement and government accountability
Silicon Valley Community Foundation,Teach Plus,"300,000",2015,1 year,Not Specified,Teacher education,Children and youth; Ethnic and racial groups; Low-income people; Students; Teachers,Not Specified,Cash grants,Not Specified
The Boston Foundation,Year Up,"300,000",2015,1 year,Human Services,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,For general operating support or unrestricted support
The Owens Family Foundation,Wellington Management Company Charitable Fund,"300,000",2015,1 year,Not Specified,Graduate and professional education,Low-income people,General support,Cash grants,Unrestricted contribution
"United Student Aid Funds, Inc.",Year Up,"300,000",2015,1 year,Not Specified,Human rights,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,Operating grant
Yawkey Foundation II,Ron Burton Training Village Camp,"300,000",2015,1 year,Not Specified,Camps,Boys; Ethnic and racial groups; Low-income people,Capital and infrastructure,Cash grants,Facility improvement project
"Rodman Ride for Kids, Inc.",Robert F. Kennedy Children's Action Corps,"289,793",2015,1 year,Not Specified,Youth development,Children and youth; Adolescents; Ethnic and racial groups; Low-income people; At-risk youth; People with disabilities,Program support,Cash grants,To benefit disadvantaged youths in massachusetts
The Oak Foundation U.S.A.,City Life/Vida Urbana,"289,613",2015,1 year,Not Specified,Shelter and residential care,People of Latin American descent; Low-income people,Advocacy,Cash grants,Three-quarter house project
The Pinkerton Foundation,Jumpstart for Young Children,"285,000",2015,1 year,Not Specified,Family services,Children and youth; Children; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,Operating support
Vanguard Charitable Endowment Program,"Epiphany School, Inc.","279,500",2015,1 year,Education,Education,Preteens; Ethnic and racial groups; Protestants; Low-income people; Students,General support,Cash grants,For General operating expenses
Arnold Ventures,Bellwether Education Partners,"277,950",2015,1 year,Not Specified,Pensions,Children and youth; Ethnic and racial groups; Low-income people; At-risk youth; Students,Information and Referral; Program support,Cash grants,To provide information about teachers' pension systems
The Boston Foundation,Bottom Line,"277,406",2015,1 year,Education,College preparation,Adolescents; Ethnic and racial groups; Economically disadvantaged people; Students,General support,Cash grants,For general operating support or unrestricted support
The Lynch Foundation,WGBH Educational Foundation,"275,000",2015,1 year,Not Specified,Science,People of African descent,Recordings,Cash grants,Black holes documentary & nova
Walton Family Foundation,Bellwether Education Partners,"262,085",2015,1 year,Not Specified,Educational management,Children and youth; Ethnic and racial groups; Low-income people; At-risk youth; Students,Program support,Cash grants,K-12 Education Program
Neighborhood Reinvestment Corporation,"The Neighborhood Developers, Inc.","260,964",2015,1 year,Not Specified,Housing development,Ethnic and racial groups; Immigrants; Low-income people,Capital and infrastructure,Cash grants,CAPITAL
Bill & Melinda Gates Foundation,Bellwether Education Partners,"260,906",2015,1 month,Not Specified,Teacher education,Teachers,Program support,Cash grants,To promote best practices in improving initial teacher education
Philippe and Ana Laffont Family Foundation,Year Up,"260,000",2015,1 year,Not Specified,Job training,Terminally ill people,General support,Cash grants,General charitable purposes
The Bromley Charitable Trust,Beacon Academy Inc,"260,000",2015,1 year,Not Specified,Elementary and secondary education,Children and youth; Ethnic and racial groups; Economically disadvantaged people; Low-income people; Students,General support,Cash grants,General
"Strategic Grant Partners, Inc.",Brooke Schools Foundation,"251,577",2015,1 year,Not Specified,Charter school education,Children and youth; Ethnic and racial groups; Low-income people; Students,Capital and infrastructure,Cash grants,Help secure permanent facility and capacity building
Charles Hayden Foundation,Bottom Line,"250,000",2015,1 year,Not Specified,Community and economic development,Adolescents; Ethnic and racial groups; Economically disadvantaged people; Students,Program support,Cash grants,Toward support of their Boston and NYC programming
"Combined Jewish Philanthropies of Greater Boston, Inc.","The Match School Foundation, Inc.","250,000",2015,1 year,Not Specified,Organ and tissue banks,Children and youth; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,Donor Advised FD Education
Eli & Edythe Broad Foundation,Teach Plus,"250,000",2015,1 year,Not Specified,Public affairs,Children and youth; Ethnic and racial groups; Low-income people; Students; Teachers,"Policy, advocacy and systems reform; Program support",Cash grants,Public policy education efforts
Eli Lilly and Company Foundation,Teach Plus,"250,000",2015,1 year,Not Specified,Teacher education,Children and youth; Ethnic and racial groups; Low-income people; Students; Teachers,Program support,Cash grants,T3 Initiative
Epker-Sinha Foundation,Steppingstone Foundation,"250,000",2015,1 year,Not Specified,College preparation,At-risk youth,General support,Cash grants,Unrestricted
Ernest H Augat Charitable Foundatic/O Gerald F Barrett,Literacy Center Inc.,"250,000",2015,1 year,Not Specified,Reading promotion,Children and youth; Ethnic and racial groups; Immigrants and migrants; Low-income people; Students,Endowments,Cash grants,Endowment fund
Fidelity Investments Charitable Gift Fund,Year Up,"250,000",2015,1 year,Not Specified,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Not Specified,Cash grants,Not Specified
Fidelity Investments Charitable Gift Fund,"Tenacity, Inc.","250,000",2015,1 year,Not Specified,Youth organizing,Children and youth; Ethnic and racial groups; Low-income people; Students,Not Specified,Cash grants,Not Specified
Fidelity Investments Charitable Gift Fund,"Tenacity, Inc.","250,000",2015,1 year,Not Specified,Youth organizing,Children and youth; Ethnic and racial groups; Low-income people; Students,Not Specified,Cash grants,Not Specified
Fidelity Investments Charitable Gift Fund,"The Match School Foundation, Inc.","250,000",2015,1 year,Not Specified,Charter school education,Children and youth; Ethnic and racial groups; Low-income people; Students,Not Specified,Cash grants,Not Specified
Fidelity Investments Charitable Gift Fund,"The Match School Foundation, Inc.","250,000",2015,1 year,Not Specified,Charter school education,Children and youth; Ethnic and racial groups; Low-income people; Students,Not Specified,Cash grants,Not Specified
Herb and Maxine Jacobs Foundation Inc,Jewish Vocational Service,"250,000",2015,1 year,Not Specified,Job creation and workforce development,Ethnic and racial groups; Immigrants and migrants; Low-income people; Students,Capital campaigns,Cash grants,Capital campaign for new offices
High Meadows Foundation,The Food Project,"250,000",2015,1 year,Not Specified,Health,Farmers,Program support,Cash grants,Payment for support of program to grow healthy crops
Highland Street Foundation,Year Up,"250,000",2015,1 year,Not Specified,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,For educational programming
Norman R. Rales and Ruth Rales Foundation,Building Educated Leaders for Life Foundation,"250,000",2015,1 year,Not Specified,Out-of-school learning,Children; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,Educational support
Richard & Susan Smith Family Foundation,KIPP Academy,"250,000",2015,1 year,Not Specified,Charter school education,Children and youth; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,Education
Richard & Susan Smith Family Foundation,Excel Academy Charter School,"250,000",2015,1 year,Not Specified,Charter school education,Preteens; Ethnic and racial groups; Immigrants; Low-income people; Students,Not Specified,Cash grants,Education
Robert & Ardis James Foundation,"Tenacity, Inc.","250,000",2015,1 year,Not Specified,Racquet sports,Children and youth; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,General & unrestricted
"State Street Foundation, Inc.",Action for Boston Community Development,"250,000",2015,1 year,Not Specified,Employment,Children and youth; Adults; Families; Ethnic and racial groups; Immigrants and migrants; Economically disadvantaged people; Low-income people,Program support,Cash grants,Grant to support the Summer Works program
The Evans Family Foundation,"The Match School Foundation, Inc.","250,000",2015,1 year,Not Specified,Charter school education,Children and youth; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,General support
The Lynch Foundation,Year Up,"250,000",2015,1 year,Not Specified,Education services,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Program expansion,Cash grants,Program expansion in boston
The Mabel Louise Riley Foundation,Boston Preparatory Charter Public School,"250,000",2015,1 year,Not Specified,Law education,Children and youth,General support,Cash grants,General operating purposes
"The Marianthi Foundation, Inc.",Martha's Vineyard Museum Inc,"250,000",2015,1 year,Not Specified,Museums,Children and youth; Adults; Family relationships; Ethnic and racial groups; Social and economic status,Not Specified,Cash grants,Charitable
Tortora Sillcox Family Foundation,Bottom Line,"250,000",2015,1 year,Not Specified,Public affairs,Adolescents; Ethnic and racial groups; Economically disadvantaged people; Students,Not Specified,Cash grants,All contributions were made to the general purpose fund of Public charitable organiza tions tha t were classified under Section 501(C)(3) of the Internal Revenue Code.
"United Student Aid Funds, Inc.",Bottom Line,"250,000",2015,1 year,Not Specified,Education services,Adolescents; Low-income people; Students,General support,Cash grants,Operating grant
Walton Family Foundation,Teach Plus,"250,000",2015,1 year,Not Specified,Elementary and secondary education,Children and youth; Ethnic and racial groups; Low-income people; Students; Teachers,Program support,Cash grants,K-12 Education Program
Richard & Susan Smith Family Foundation,City on A Hill Foundation Inc,"240,000",2015,1 year,Not Specified,Secondary education,Adolescents; People of African descent; People of Latin American descent; Low-income people; Students,Program support,Cash grants,Education
Holdeen Fund 45-10,Unitarian Universalist Association,"238,951",2015,1 year,Not Specified,Interfaith,Low-income people,General support,Cash grants,General support grant
"The Partnership Project, Inc.",National Religious Partnership for the Environment,"235,000",2015,1 year,Not Specified,Natural resources,Ethnic and racial groups,Program support,Cash grants,Program support
"GreenLight Fund, Inc.",Year Up,"234,715",2015,1 year,Not Specified,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,General support
Devonshire Foundation,The Food Project,"234,483",2015,1 year,Not Specified,Organic farming,Adolescents; Ethnic and racial groups; Low-income people,Not Specified,Cash grants,Grant
"Bank of America Charitable Foundation, Inc.",Year Up,"233,333",2015,1 year,Not Specified,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,General support; Program support,Cash grants,Program/operating support
Neighborhood Reinvestment Corporation,Urban Edge,"230,930",2015,1 year,Not Specified,Urban development,Ethnic and racial groups; Low-income people,Program support,Cash grants,EXPENDABLE
