Grant Funder Name,Grant Recipient Name,Grant Total Amount,Grant Fiscal Year,Grant Duration,Grant Program Area,Grant Primary Subject,Grant Population Served,Grant Support Strategy,Grant Transaction Type,Grant Description
Point32Health Foundation,The Boston Foundation,"125,000",2022,1 year,Not Specified,Ethnic and racial minority rights,LGBTQ people; Ethnic and racial groups,Financial sustainability,Cash grants,"Point32health Foundation announced grants totaling $1 million to advance social and racial equity. The funds will support nonprofit organizations that include diverse voices and perspectives, eliminate systemic barriers, and advocate for stronger communities. $125,000 Was awarded to the Equality Fund, an endowed fund to support Greater Boston nonprofit organizations that serve and strengthen the LGBTQ community."
Point32Health Foundation,The Boston Foundation,"125,000",2022,1 year,Not Specified,Ethnic and racial minority rights,Ethnic and racial groups; People of African descent,Equal access,Cash grants,"Point32health Foundation announced grants totaling $1 million to advance social and racial equity. The funds will support nonprofit organizations that include diverse voices and perspectives, eliminate systemic barriers, and advocate for stronger communities. $125,000 Was awarded to the New Commonwealth Racial Equity and Social Justice Fund, a coalition of Massachusetts Black and Brown executives that leverages individual and collective power to work together with community organizations to make transformative societal changes by addressing systemic racism and racial inequity in Massachusetts."
Point32Health Foundation,The Boston Foundation,"125,000",2022,1 year,Not Specified,Ethnic and racial minority rights,People of Latin American descent,Equal access,Cash grants,"Point32health Foundation announced grants totaling $1 million to advance social and racial equity. The funds will support nonprofit organizations that include diverse voices and perspectives, eliminate systemic barriers, and advocate for stronger communities. $125,000 Was awarded to the Latino Equity Fund, a Latino-focused fund that amplifies diverse voices and perspectives within the Latino community and beyond in Greater Boston and the state, with a focus on achieving greater and more equitable access to economic prosperity and well-being."
Barr Foundation,Boston Chinatown Neighborhood Center,"115,000",2022,1 month,Not Specified,Human services,Children and youth; People of East Asian descent; Immigrants and migrants; Immigrants; Low-income people,Capacity-building and technical assistance; Program support,Cash grants,To support organizational DEI training
Barr Foundation,Southeast Asian Coalition of Central Massachusetts,"100,000",2022,2 months,Not Specified,Immigrant services,People of Southeast Asian descent; Immigrants and migrants,General support,Cash grants,To provide general operating support
Barr Foundation,"Caribe Communications & Publications, Inc.","100,000",2022,2 months,Not Specified,Public transportation,Ethnic and racial groups,Program support,Cash grants,To support a campaign to amplify public transportation information to Spanish-speaking transit riders
Barr Foundation,Centro Comunitario de Trabajadores,"100,000",2022,2 months,Not Specified,Labor rights,Ethnic and racial groups; Immigrants and migrants; Low-income people,General support,Cash grants,To provide general operating support
Lloyd G. Balfour Foundation,Freedom House,"100,000",2022,1 month,Education\Education NEC,Education services,Economically disadvantaged people,Program support,Cash grants,13TH and 14TH Year
Lloyd G. Balfour Foundation,Summer Search,"100,000",2022,2 months,Not Specified,Youth development,Economically disadvantaged people,General support,Cash grants,General Operations of the organization
Lloyd G. Balfour Foundation,Urban Students Empowered Foundation,"100,000",2022,3 months,Education,Elementary and secondary education,Economically disadvantaged people,Program support,Cash grants,Supporting Onegoal Massachusetts' Statewide Initiative to Close the Degree Divide
Lloyd G. Balfour Foundation,Posse Foundation,"100,000",2022,3 months,Education,Education services,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Academics; Students,Program support,Cash grants,"General operating support, Posse Boston"
Silicon Valley Community Foundation,Cambridge Community Foundation,"100,000",2022,1 year,Community Foundations,Foundations,Family relationships; Ethnic and racial groups; Immigrants and migrants; Economically disadvantaged people; Artists and performers,Not Specified,Cash grants,Not Specified
"The Patrick J. McGovern Foundation, Inc.",Kids in Tech,"100,000",2022,1 year,Not Specified,Science,Children and youth; Ethnic and racial groups; Students,Capacity-building and technical assistance; Program support,Cash grants,To provide capacity building support for ongoing tech education programs and Boston area expansion.
Richard & Susan Smith Family Foundation,Middlesex Community College,"90,350",2022,1 year,Not Specified,Secondary education,Ethnic and racial groups,Program support,Cash grants,Program grant to develop and launch a Promise program that enables Early College students to graduate from high school with a full Associate's degree or sixty transferrable credits toward a Bachelor's degree.
Point32Health Foundation,Coastal Foodshed,"90,000",2022,3 months,Not Specified,Food security,Ethnic and racial groups; Refugees and displaced people,Program support,Cash grants,"Point32health Foundation announced today grants totaling $270,000 to three nonprofit organizations operating mobile farmers markets in the region. FEED Center in Bridgeport, Conn., Coastal Foodshed in New Bedford, Mass., And organization for Refugee and Immigrant Success (ORIS) in Manchester, N.H., Each will receive $90,000 over three years."
Lloyd G. Balfour Foundation,"Hyde Square Task Force, Inc.","75,000",2022,2 months,Youth Development\Youth Development Programs,Education services,Economically disadvantaged people,Program support,Cash grants,Jvenes en Accin (JEA) / College Success Program (CSP)
Lloyd G. Balfour Foundation,"Breakthrough Greater Boston, Inc.","75,000",2022,2 months,Education,Higher education,Children and youth; Preteens; Adolescents; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,Expanding and Enhancing Breakthrough’s College Access and Success Programs
Lloyd G. Balfour Foundation,JFYNetWorks,"75,000",2022,2 months,Not Specified,Employment,Adolescents; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,General operations of the organization
Lloyd G. Balfour Foundation,Bottom Line,"75,000",2022,2 months,Education\Educational Services,Equal opportunity in education,Economically disadvantaged people,Program support,Cash grants,Bottom Line Massachusetts Access and Success Programs – Young Men of Color Initiative
Target Foundation,Initiative for A Competitive Inner City Inc,"75,000",2022,1 year,Not Specified,Community and economic development,Ethnic and racial groups; Low-income people,Not Specified,Cash grants,Not Specified
Lloyd G. Balfour Foundation,Literacy Center Inc.,"70,000",2022,2 months,Not Specified,Reading promotion,Economically disadvantaged people,General support,Cash grants,General Operations of the Organization
Lloyd G. Balfour Foundation,Boston Higher Education Resource Center,"70,000",2022,2 months,Not Specified,Higher education,Economically disadvantaged people,General support,Cash grants,General Operations of the Boston Higher Education Resource Center (HERC)
Barr Foundation,"The Berkshire Taconic Community Foundation, Inc.","55,000",2022,0.67 months,Not Specified,Ethnic and racial minority rights,Not Specified,"Policy, advocacy and systems reform",Cash grants,"To support assessment, education, and policy and practice revision to advance racial equity within the foundation."
Lloyd G. Balfour Foundation,Steppingstone Foundation,"55,000",2022,3 months,Education\Educational Services,Adult education,Families,Program support,Cash grants,The Steppingstone Scholars Program
Best Buy Foundation,Clubhouse Network Inc,"50,000",2022,1 month,Teens & Tech; Career Readiness,STEM education,Preteens; Adolescents; Economically disadvantaged people,Program support,Cash grants,"For this Clubhouse Tech Refresh & Retool grant, The Clubhouse Network proposes to build on this track record of success by providing technology refresh and/or retool grants to Clubhouses whose technology may no longer be cutting edge and may need an upgrade, and by introducing more advanced technology and a deeper emphasis on innovative technologies. The Technology Refresh and Retool awards will enable Clubhouses to engage youth in seeing themselves as designers and creators of technology, not just passive consumers."
Lloyd G. Balfour Foundation,Sociedad Latina,"50,000",2022,1 month,Education\Higher Education,Higher education,Economically disadvantaged people,Program support,Cash grants,College and Career Pathways
Lloyd G. Balfour Foundation,"Tenacity, Inc.","50,000",2022,2 months,Youth Development,Job counseling,Economically disadvantaged people,Program support,Cash grants,Tenacity Pathway to Post-secondary Success Programs: College Prep and Post-secondary Services
Lloyd G. Balfour Foundation,SquashBusters Inc.,"50,000",2022,2 months,Youth Development\Youth Development Programs,Job counseling,Children and youth; Ethnic and racial groups; Low-income people,Program support,Cash grants,"Pathways to College, Character, and Career"
Richard & Susan Smith Family Foundation,Sportsmen's Tennis & Enrichment Center,"50,000",2022,1 year,Not Specified,Public safety,Children and youth; Ethnic and racial groups; Low-income people,Capital and infrastructure,Cash grants,"Capital grant to install a new storm drainage retention and infiltration system under the agency's parking lot at its Dorchester site, where it works to build leaders on the court, in the classroom, and in the greater community."
Richard & Susan Smith Family Foundation,CommonWealth Kitchen Inc.,"50,000",2022,1 year,Not Specified,Job training,Adults; Women and girls; Ethnic and racial groups; Low-income people,Equipment,Cash grants,Capital grant for a specialized forming and extrusion machine at the agency's Dorchester kitchen facility which will help increase the manufacturing capacity of diverse entrepreneurs building food companies.
The Women's Fund of Western Massachusetts,"Arise, Inc.","45,000",2022,0.33 months,Not Specified,Economic development,Women and girls; Ethnic and racial groups; Low-income people,Research,Cash grants,Economic Security Hub survey and research
The Robert Wood Johnson Foundation,Essex County Community Organization,"40,000",2022,0.75 months,Not Specified,Community improvement,Not Specified,Not Specified,Cash grants,Not Specified
The Robert Wood Johnson Foundation,We Are Better Together Warren Daniel Hairston Project,"40,000",2022,0.75 months,Not Specified,Ethnic and racial minority rights,Ethnic and racial groups,Program support,Cash grants,Not Specified
The Robert Wood Johnson Foundation,Edward Street Day Care Center Inc,"40,000",2022,0.75 months,Not Specified,Ethnic and racial minority rights,Ethnic and racial groups,Research and evaluation; Program support,Cash grants,Not Specified
The Women's Fund of Western Massachusetts,"Arise, Inc.","30,000",2022,0.42 months,Not Specified,Youth development,Women and girls; Ethnic and racial groups; Low-income people,Equal access; Program support,Cash grants,To facilitate the 2022 Young Women's Initiative which is a social justice leadership and civic engagement program that serves young women and gender expansive youth of color ages 16-24 years old
Barr Foundation,Philanthropy Massachusetts,"25,000",2022,0.5 months,Not Specified,Philanthropy,People of African descent,Financial sustainability; Conferences and exhibits,Cash grants,To support the How to Boston While Black Summit at the Gold sponsorship level
Lloyd G. Balfour Foundation,Mass Mentoring Partnership,"25,000",2022,2 months,Youth Development\Adult & Child Matching Programs,Education services,Children and youth; Family relationships; Ethnic and racial groups; Social and economic status,Program support,Cash grants,Enhancing Connected Futures Curriculum by including Social Capital and Critical Mentoring theory with a Learning Community of College and Career Readiness Programs in Massachusetts
Richard & Susan Smith Family Foundation,PROJECT CITIZENSHIP INC,"23,719",2022,1 year,Not Specified,Public affairs,Seniors; Multiracial people; Immigrants; Economically disadvantaged people; People with disabilities; Students,Information technology,Cash grants,Capital grant for technology hardware and infrastructure upgrades to help the agency more effectively and securely serve clients on their path to becoming U.S. Citizens.
Hispanics in Philanthropy,Brockton Workers Alliance Inc,"20,000",2022,0.25 months,Not Specified,Disasters and emergency management,Victims of disaster,Program support,Cash grants,This grant supports the organization in addressing the long-term impacts of the twin pandemics of COVID-19 and racial inequality with an intersectional lens.
Seattle Foundation,Tufts University,"20,000",2022,1 year,Not Specified,Student services,Ethnic and racial groups,Scholarships,Cash grants,First Generation Scholarship Fund.
The Women's Fund of Western Massachusetts,18 Degrees,"19,343",2022,0.42 months,Not Specified,Youth development,Women and girls,Advocacy; Equal access; Program support,Cash grants,To facilitate the 2022 Young Women's Initiative which is a social justice leadership and civic engagement program that serves young women and gender expansive youth of color ages 16-24 years old
Barr Foundation,"BPE, Inc.","15,000",2022,1 month,Not Specified,Ethnic and racial minority rights,Ethnic and racial groups,Capacity-building and technical assistance; Research; Program support,Cash grants,To support the consulting engagement to develop and pilot The ARC Project modules that promote deeper understanding of racial equity and justice
Richard & Susan Smith Family Foundation,Found in Translation,"15,000",2022,1 year,Not Specified,Education,Researchers,Fundraising,Cash grants,Foundation Trustee discretionary matching gift
Richard & Susan Smith Family Foundation,"Young Man With a Plan (fiscal sponsor: The Preparatory Foundation, Inc.)","12,650",2022,1 year,Not Specified,Youth development,People of African descent; People of Latin American descent,Equipment,Cash grants,"Capital grant for technology, furniture, and equipment in the agency’s new space to support its programs to create a culture of brotherhood, respect, aspiration, and achievement for 160 young Black and Latino males in Boston."
Richard & Susan Smith Family Foundation,Steppingstone Foundation,"12,500",2022,1 year,Not Specified,College preparation,Researchers,Fundraising,Cash grants,Foundation Trustee discretionary matching gift
Richard & Susan Smith Family Foundation,"Hyde Square Task Force, Inc.","10,000",2022,1 year,Not Specified,Education,Researchers,Fundraising,Cash grants,Foundation Trustee discretionary matching gift
Seattle Foundation,Found in Translation,"10,000",2022,1 year,Not Specified,Information and Communications,Women; Ethnic and racial groups; Homeless people; Low-income people,Equal access; Translation,Cash grants,2022 F5 Tech for Good Grant.
Seattle Foundation,7000 Languages,"10,000",2022,1 year,Not Specified,Information and Communications,Indigenous peoples,Equal access,Cash grants,2022 F5 Tech for Good Grant.
Silicon Valley Community Foundation,"GreenLight Fund, Inc.","10,000",2022,1 year,Urban & Community Economic Development,Urban development,Ethnic and racial groups; Low-income people,Not Specified,Cash grants,Not Specified
The Community Foundation of Western North Carolina,Corporate Accountability,"10,000",2022,1 year,Building Community & Economic Vitality,Economic development,Not Specified,Program support,Cash grants,Not Specified
The Women's Fund of Western Massachusetts,Hispanic Resources,"9,000",2022,0.33 months,Not Specified,Public affairs,People of Latin American descent,Fiscal sponsorships; Public engagement and education; Research,Cash grants,Fiscal sponsor for Voices from Inside for Economic Security Hub research
Greater Washington Community Foundation,"Epiphany School, Inc.","7,500",2022,1 year,Education,Middle school education,Preteens; Ethnic and racial groups; Protestants; Low-income people; Students,Not Specified,Cash grants,Not Specified
Greater Washington Community Foundation,Teach Plus,"7,500",2022,1 year,Education,Teacher education,Children and youth; Ethnic and racial groups; Low-income people; Students; Teachers,Not Specified,Cash grants,Not Specified
Richard & Susan Smith Family Foundation,Dimock Community Health Center,"7,500",2022,1 year,Not Specified,Health care access,Children and youth,Program expansion,Cash grants,Extension of original multi-year TEAM UP (Transforming and Expanding Access to Mental Health in Urban Pediatrics) for Children grant which seeks to promote positive child health and well-being through the delivery of evidence-based integrated behavioral health care in pediatric primary care clinics.
Charles H. Hall Foundation,The Mahaiwe Performing Arts Center,"5,000",2022,1 month,"Arts, Culture & Humanities\Performing Arts\Performing Arts Centers",Performing arts education,Families,Program support,Cash grants,Partnering with Latinx Communities Project
Charles H. Hall Foundation,Reportage International,"5,000",2022,1 month,"Arts, Culture & Humanities\Arts & Culture\Arts Education",Arts services,Gender and sexual identity; Ethnic and racial groups; Social and economic status,Program support,Cash grants,Visual Literacy Project
"Coastal Community Foundation of South Carolina, Inc.",Amyloidosis Research Consortium Inc,"5,000",2022,1 year,Not Specified,Health,Age Groups; Ethnic and racial groups; Health,Advocacy; Equal access,Cash grants,This unrestricted grant is given as general operating support
East Bay Community Foundation,"Black and Pink, Inc.","5,000",2022,1 year,Human Services,LGBTQ rights,People of African descent; Low-income people,General support,Cash grants,General support
East Bay Community Foundation,PROJECT CITIZENSHIP INC,"5,000",2022,1 year,"Civil Rights, Soc Act & Advoc.",Antidiscrimination,Seniors; Multiracial people; Immigrants; Economically disadvantaged people; People with disabilities; Students,General support,Cash grants,General support
Target Foundation,Youth Enrichment Services (YES),"5,000",2022,1 year,Not Specified,Human services,Children and youth; Ethnic and racial groups; Low-income people,Not Specified,Cash grants,Not Specified
The Women's Fund of Western Massachusetts,Sojourner Truth School for Social Change Leadership,"5,000",2022,0.5 months,Not Specified,Leadership development,Ethnic and racial groups,Leadership and professional development; Convening,Cash grants,To support the 2022 And Still We Rise Leadership Forum for Womxn Leaders of Color
Target Foundation,Boston Chinatown Neighborhood Center,"3,000",2022,1 year,Not Specified,Community and economic development,Children and youth; People of East Asian descent; Immigrants and migrants; Immigrants; Low-income people,Not Specified,Cash grants,Not Specified
Greater Washington Community Foundation,"Hyde Square Task Force, Inc.","2,045",2022,1 year,Education,Community improvement,Children and youth; Ethnic and racial groups; Low-income people,Not Specified,Cash grants,Not Specified
Greater Washington Community Foundation,"Lawyers' Committee for Civil Rights Under Law of the Boston Bar Association, Inc.","2,000",2022,1 year,Human Rights,Antidiscrimination,Ethnic and racial groups; Low-income people,Not Specified,Cash grants,Not Specified
Target Foundation,Andover Committee for A Better Chance Inc,"2,000",2022,1 year,Not Specified,Human services,Children and youth; Adolescents; Ethnic and racial groups; Low-income people; Students,Not Specified,Cash grants,Not Specified
Barr Foundation,New England Blacks in Philanthropy,"1,500",2022,1 month,Not Specified,Philanthropy,Children and youth; Adults; Ethnic and racial groups; People of African descent; Social and economic status; Work status and occupations,"Policy, advocacy and systems reform",Cash grants,To support 2022 Barr Foundation Membership Dues
"Central Florida Foundation, Inc.","Black Men of Greater Springfield, Inc.","1,134",2022,1 month,Partnerships to achieve the Goal,Youth services,People of African descent,General support,Cash grants,General Operating support
Greater Washington Community Foundation,"Community Servings, Inc.","1,000",2022,1 year,Human Services,Food aid,Ethnic and racial groups; Low-income people; People with disabilities; People with HIV/AIDS,Not Specified,Cash grants,Not Specified
Seattle Foundation,Alliance of Climate and Environmental Stewards Inc (ACES),"1,000",2022,1 year,Not Specified,Alumni relations,Ethnic and racial groups,Program support,Cash grants,To support the 2021 Alumni for Good match.
"Coastal Community Foundation of South Carolina, Inc.","Epiphany School, Inc.",500,2022,1 year,Not Specified,Middle school education,Preteens; Ethnic and racial groups; Protestants; Low-income people; Students,Advocacy; Equal access,Cash grants,This unrestricted grant is given as general operating support.
East Bay Community Foundation,Country Dance & Song Society Inc,500,2022,1 year,Arts & Culture,Arts services,Adults; Families; Ethnic and racial groups,General support,Cash grants,General support
Seattle Foundation,Newton Girls Soccer Inc,335,2022,1 year,Not Specified,Alumni relations,Ethnic and racial groups,Program support,Cash grants,To provide support for the 2021 Alumni for Good Match.
The Community Foundation of Western North Carolina,"United for a Fair Economy, Inc.",250,2022,1 year,Building Community & Economic Vitality,Public finance,Adults; Ethnic and racial groups; Immigrants and migrants; Economically disadvantaged people; Low-income people,Advocacy,Cash grants,Not Specified
