Funder Name,City,State,Country,* Value of Grants,Number of Grants,Details
Vanguard Charitable Endowment Program,Southeastern Hills,KY,United States,$6.6 Million,166,
Herman and Frieda L. Miller Foundation,Boston,MA,United States,$6.5 Million,134,
The Salem Foundation,Providence,RI,United States,$6.3 Million,7,
"Masshire Hampden County Workforce Board, Inc.",Springfield,MA,United States,$6.3 Million,6,
The Mabel Louise Riley Foundation,Pittsburgh,PA,United States,$6.3 Million,94,
Ballmer Group,Bellevue,WA,United States,$6.3 Million,4,
New Balance Foundation,Boston,MA,United States,$6.2 Million,76,
The Commonwealth Fund,New York City,NY,United States,$6.1 Million,17,
Michael & Susan Dell Foundation,Austin,TX,United States,$6 Million,23,
The Lynch Foundation,Boston,MA,United States,$5.7 Million,44,
Alfred P. Sloan Foundation,New York City,NY,United States,$5.4 Million,6,
New Profit,Boston,MA,United States,$5.2 Million,10,
"Blue Cross Blue Shield of Massachusetts Foundation, Inc.",Boston,MA,United States,$5.1 Million,134,
Neighborhood Reinvestment Corporation,Washington,DC,United States,$5.1 Million,33,
"Pepsico, Inc. Corporate Giving Program",Purchase,NY,United States,$5 Million,1,
Wagner Family Foundation,Boston,MA,United States,$4.8 Million,48,
"The Wal-Mart Foundation, Inc.",Bentonville,AR,United States,$4.7 Million,22,
Schwab Charitable,San Francisco,CA,United States,$4.7 Million,149,
The Leona M. and Harry B. Helmsley Charitable Trust,New York City,NY,United States,$4.7 Million,11,
Community Foundation of Western Massachusetts,Springfield,MA,United States,$4.5 Million,359,
The Jaket Foundation,Boston,MA,United States,$4.4 Million,20,
The Janey Fund Charitable Trust,Chestnut Hill,MA,United States,$4.3 Million,146,
"Charter Fund, Inc.",Broomfield,CO,United States,$4.3 Million,9,
Foundation to Promote Open Society,New York City,NY,United States,$4.2 Million,24,
The Wyss Foundation,Washington,DC,United States,$4 Million,5,
Mackenzie Scott and Dan Jewett,Seattle,WA,United States,$4 Million,2,
Deerbrook Charitable Trust,New York City,NY,United States,$4 Million,4,
Charles and Lynn Schusterman Family Philanthropies,Tulsa,OK,United States,$3.9 Million,16,
"Surdna Foundation, Inc.",New York City,NY,United States,$3.9 Million,33,
Tides Foundation,San Francisco,CA,United States,$3.7 Million,48,
Massachusetts League of Community Health Centers Inc,Boston,MA,United States,$3.7 Million,38,
"Greater Worcester Community Foundation, Inc.",Worcester,MA,United States,$3.7 Million,271,
The Fish Family Foundation,Boston,MA,United States,$3.6 Million,113,
Amelia Peabody Charitable Fund,Boston,MA,United States,$3.6 Million,55,
"The Harry and Jeanette Weinberg Foundation, Inc.",Owings Mills,MD,United States,$3.6 Million,13,
John Templeton Foundation,West Conshohocken,PA,United States,$3.6 Million,3,
W. Clement & Jessie V. Stone Foundation,Chicago,IL,United States,$3.5 Million,49,
The Jenesis Group,Irving,TX,United States,$3.5 Million,3,
Boston Charitable Trust Fund,Boston,MA,United States,$3.5 Million,22,
"Public Welfare Foundation, Inc.",Washington,DC,United States,$3.5 Million,17,
The Rockefeller Foundation,New York City,NY,United States,$3.4 Million,4,
Holdeen Fund 47-10,Winston-Salem,NC,United States,$3.4 Million,4,
Essex County Community Foundation,Danvers,MA,United States,$3.4 Million,37,
"Clowes Fund, Inc.",Indianapolis,IN,United States,$3.3 Million,125,
The Pershing Square Foundation,New York City,NY,United States,$3.2 Million,9,
The Gordon and Llura Gund Foundation,Princeton,NJ,United States,$3.2 Million,6,
Charles H. Farnsworth Trust,Boston,MA,United States,$3.1 Million,60,
"National Urban League, Inc.",New York City,NY,United States,$3 Million,5,
Open Philanthropy Project,San Francisco,CA,United States,$3 Million,2,
New Venture Fund,Washington,DC,United States,$2.9 Million,24,
"Health Resources in Action, Inc.",Boston,MA,United States,$2.9 Million,60,
The Pinkerton Foundation,New York City,NY,United States,$2.9 Million,18,
"Health Resources in Action, Inc.",Boston,MA,United States,$2.9 Million,60,
Calderwood Charitable Foundation,Boston,MA,United States,$2.9 Million,4,
Ewing Marion Kauffman Foundation,Kansas City,MO,United States,$2.8 Million,5,
The Louis Calder Foundation,Denver,CO,United States,$2.7 Million,25,
Fidelity Nonprofit Management Foundation,Boston,MA,United States,$2.7 Million,1,
Unitarian Universalist Veatch Program At Shelter Rock,Manhasset,NY,United States,$2.7 Million,20,
"Network for Good, Inc.",Washington,DC,United States,$2.6 Million,73,
Devonshire Foundation,Boston,MA,United States,$2.6 Million,22,
High Meadows Foundation,Boston,MA,United States,$2.5 Million,12,
"The Marcus Foundation, Inc.",Atlanta,GA,United States,$2.5 Million,2,
"Santander Bank, N.A. Contributions Program",Boston,MA,United States,$2.5 Million,1,
"Family League of Baltimore City, Inc.",Baltimore,MD,United States,$2.5 Million,5,
Arnold Ventures,Houston,TX,United States,$2.5 Million,13,
Harvard Pilgrim Health Care Foundation,Wellesley,MA,United States,$2.5 Million,128,
Richard K. & Nancy L. Donahue Charitable Foundation,Lowell,MA,United States,$2.4 Million,13,
Technical Training Foundation,North Andover,MA,United States,$2.4 Million,9,
"Stephen M. Gorn Family Foundation, Inc.",Baltimore,MD,United States,$2.4 Million,5,
Boston Medical Center Corporation,Boston,MA,United States,$2.4 Million,19,
Eli & Edythe Broad Foundation,Los Angeles,CA,United States,$2.3 Million,10,
"Shipley Foundation, Inc.",Boston,MA,United States,$2.3 Million,1,
"The 1434 Foundation, Inc.",Boston,MA,United States,$2.3 Million,46,
"Chicago Beyond, Inc.",Chicago,IL,United States,$2.3 Million,2,
Alnoba Lewis Family Foundation,Boston,MA,United States,$2.3 Million,15,
The Shapiro Foundation,Needham,MA,United States,$2.3 Million,21,
Edward Payson George Charitable Trust,Boston,MA,United States,$2.3 Million,6,
Workday Foundation,Wilmington,DE,United States,$2.2 Million,13,
New York Community Trust,New York City,NY,United States,$2.2 Million,199,
William E. Schrafft and Bertha E. Schrafft Charitable Trust,Boston,MA,United States,$2.2 Million,135,
Kern Family Foundation Inc,Waukesha,WI,United States,$2.2 Million,6,
The Mooney-Reed Charitable Foundation,Wellesley,MA,United States,$2.2 Million,16,
Symantec Foundation,Mountain View,CA,United States,$2.2 Million,4,
"The Patrick J. Mcgovern Foundation, Inc.",Boston,MA,United States,$2.1 Million,11,
Fidelity Foundation,Boston,MA,United States,$2.1 Million,31,
Citizens Charitable Foundation,Johnston,RI,United States,$2.1 Million,176,
"Josephine and Louise Crane Foundation, Inc.",Falmouth,MA,United States,$2.1 Million,72,
The Joyce Foundation,Chicago,IL,United States,$2 Million,11,
Ecmc Foundation,Los Angeles,CA,United States,$2 Million,4,
"Third Sector New England, Llc",Boston,MA,United States,$2 Million,28,
"Abrams Foundation, Inc.",Boston,MA,United States,$2 Million,31,
"Tower Family Fund, Inc.",Buffalo,NY,United States,$2 Million,4,
Robertson Foundation,New York City,NY,United States,$2 Million,2,
Morgan Stanley Global Impact Funding Trust Inc,Purchase,NY,United States,$2 Million,94,
Ge Foundation,Boston,MA,United States,$1.9 Million,111,
Trefler Foundation,Newton Upper Falls,MA,United States,$1.9 Million,11,
"The Tjx Foundation, Inc.",Framingham,MA,United States,$1.8 Million,180,
Simons Foundation,New York City,NY,United States,$1.8 Million,4,
The Valhalla Charitable Foundation,Woodside,CA,United States,$1.8 Million,4,
Td Charitable Foundation,Portland,ME,United States,$1.8 Million,124,
The Edgerley Family Foundation,Overland Park,KS,United States,$1.8 Million,14,
Phillip and Susan Ragon Foundation,Cambridge,MA,United States,$1.8 Million,5,
The Nathan Cummings Foundation,New York City,NY,United States,$1.7 Million,22,
"The Hollyhock Foundation, Inc.",New York City,NY,United States,$1.7 Million,3,
Charles Stewart Mott Foundation,Flint,MI,United States,$1.7 Million,9,
Linde Family Foundation,Boston,MA,United States,$1.7 Million,39,
The Imago Dei Fund,Boston,MA,United States,$1.6 Million,38,
Local Initiatives Support Corporation,,NY,United States,$1.6 Million,18,
National Endowment for the Arts,Washington,DC,United States,$1.6 Million,59,
"Tufts Health Plan Foundation, Inc.",Watertown,MA,United States,$1.6 Million,41,
Irene E. and George A. Davis Foundation,Springfield,MA,United States,$1.6 Million,94,
Chan Zuckerberg Foundation,Palo Alto,CA,United States,$1.6 Million,2,
Solidago Foundation,Northampton,MA,United States,$1.5 Million,81,
The Flatley Foundation,Braintree,MA,United States,$1.5 Million,40,
Shippy Foundation,New York City,NY,United States,$1.5 Million,37,
Vertex Foundation Inc.,Boston,MA,United States,$1.5 Million,13,
Perpetual Trust for Charitable Giving,Providence,RI,United States,$1.5 Million,68,
John D. and Catherine T. Macarthur Foundation,Chicago,IL,United States,$1.5 Million,3,
Holdeen Ten Funds,Las Vegas,NV,United States,$1.5 Million,5,
The Ludcke Foundation,Boston,MA,United States,$1.5 Million,29,
Orange County Community Foundation,Newport Beach,CA,United States,$1.5 Million,4,
Deborah Munroe Noonan Memorial Fund,Boston,MA,United States,$1.5 Million,74,
Ccba Tai Tung Management Inc,Boston,MA,United States,$1.5 Million,3,
President and Fellows of Harvard College,Cambridge,MA,United States,$1.5 Million,46,
Carl and Ruth Shapiro Family Foundation,Wellesley,MA,United States,$1.5 Million,69,
The Wallace Foundation,New York City,NY,United States,$1.5 Million,4,
"Greater Lowell Community Foundation, Inc.",Lowell,MA,United States,$1.4 Million,119,
The Harold Whitworth Pierce Charitable Trust,Boston,MA,United States,$1.4 Million,22,
Lilly Endowment Inc.,Indianapolis,IN,United States,$1.4 Million,2,
Norman R. Rales and Ruth Rales Foundation,Washington,DC,United States,$1.4 Million,2,
"Clipper Ship Foundation, Inc.",Belmont,MA,United States,$1.4 Million,124,
Wells Fargo Foundation,Minneapolis,MN,United States,$1.4 Million,108,
Sand Dollar Fund,Plymouth Meeting,PA,United States,$1.4 Million,11,
The George I. Alden Trust,Worcester,MA,United States,$1.4 Million,29,
Massachusetts Legal Assistance Corporation,Boston,MA,United States,$1.4 Million,15,
"Bloomberg Philanthropies, Inc.",New York City,NY,United States,$1.4 Million,20,
George H. & Jane A. Mifflin Memorial Fund,Boston,MA,United States,$1.4 Million,61,
The Annie E. Casey Foundation,Baltimore,MD,United States,$1.4 Million,32,
The Evans Family Foundation,Boston,MA,United States,$1.4 Million,6,
In His Steps Foundation,Independence,OH,United States,$1.3 Million,7,
"Lovett/Woodsum Family Charitable Foundation, Inc.",Boston,MA,United States,$1.3 Million,60,
Carnegie Corporation of New York,New York City,NY,United States,$1.3 Million,8,
"Metrowest Health Foundation, Inc.",Framingham,MA,United States,$1.3 Million,23,
Alfred E. Chase Charity Foundation,Jacksonville,FL,United States,$1.3 Million,69,
"Currents of Change, Inc.",Jamaica Plain,MA,United States,$1.3 Million,49,
Robert and Dana Emery Family Foundation,Wilmington,DE,United States,$1.3 Million,1,
Citi Foundation,New York City,NY,United States,$1.2 Million,15,
"Island Foundation, Inc.",Marion,MA,United States,$1.2 Million,72,
Levangie Family Charitable Foundation,Acton,MA,United States,$1.2 Million,2,
The Carson Family Charitable Trust,New York City,NY,United States,$1.2 Million,6,
Citi Foundation,New York City,NY,United States,$1.2 Million,15,
"Island Foundation, Inc.",Marion,MA,United States,$1.2 Million,72,
The Carson Family Charitable Trust,New York City,NY,United States,$1.2 Million,6,
"The Fred Harris Daniels Foundation, Inc.",Worcester,MA,United States,$1.2 Million,107,
"The Berkshire Taconic Community Foundation, Inc.",Sheffield,MA,United States,$1.2 Million,250,
The Endeavor Foundation,New York City,NY,United States,$1.2 Million,8,
Roberta & S.R. Weiner Family Foundation,Boston,MA,United States,$1.2 Million,7,
Franklin Square House Foundation,Belmont,MA,United States,$1.2 Million,34,
The Comcast Foundation,Philadelphia,PA,United States,$1.1 Million,76,
John Mirak Foundation,Arlington,MA,United States,$1.1 Million,15,
"Kelly Family Foundation, Inc.",Needham,MA,United States,$1.1 Million,49,
Metlife Foundation,New York City,NY,United States,$1.1 Million,12,
Community Foundation of Southeastern Massachusetts,New Bedford,MA,United States,$1.1 Million,56,
"Anna B. Stearns Charitable Foundation, Inc.",Boston,MA,United States,$1.1 Million,89,
Center on Budget and Policy Priorities,Washington,DC,United States,$1.1 Million,15,
The Vine'S Branch Foundation,Cambridge,MA,United States,$1.1 Million,7,
Roy A. Hunt Foundation,Pittsburgh,PA,United States,$1.1 Million,77,
The Manton Foundation,New York City,NY,United States,$1.1 Million,4,
East Tennessee Foundation,Knoxville,TN,United States,$1.1 Million,1,
"Lincoln and Therese Filene Foundation, Inc.",Boston,MA,United States,$1.1 Million,73,
The Stoddard Charitable Trust,Worcester,MA,United States,$1.1 Million,49,
Theodore Edson Parker Foundation,Boston,MA,United States,$1.1 Million,42,
Ploughshares Foundation,Chicago,IL,United States,$1.1 Million,124,
The Richard K. Lubin Family Foundation,Boston,MA,United States,$1.1 Million,54,
The Oak Foundation U.S.A.,San Francisco,CA,United States,$1.1 Million,7,
Einhorn Family Charitable Trust,New York City,NY,United States,$1.1 Million,2,
Bush Foundation,Saint Paul,MN,United States,$1.1 Million,3,
Epker-Sinha Foundation,Boston,MA,United States,$1 Million,8,
"Stadler Family Charitable Foundation, Inc.",Princeton,NJ,United States,$1 Million,2,
"J. A. & Kathryn Albertson Foundation, Inc.",Boise,ID,United States,$1 Million,4,
Philippe and Ana Laffont Family Foundation,New York City,NY,United States,$1 Million,4,
William J. & Lia G. Poorvu Family Foundation,Cambridge,MA,United States,$1 Million,36,
The William and Flora Hewlett Foundation,Menlo Park,CA,United States,$1 Million,3,
E*Trade Financial Corporation Contributions Program,Arlington,VA,United States,$1 Million,2,
The Pmk Foundation,Ponte Vedra Beach,FL,United States,$1 Million,2,
Aphorism Foundation,San Francisco,CA,United States,$1 Million,1,
The Kovner Foundation,Jupiter,FL,United States,$1 Million,1,
The John Merck Fund,Boston,MA,United States,"$990,000",21,
Sperling Family Charitable Foundation,Wayland,MA,United States,"$990,000",11,
The Children'S Hospital Corporation,Boston,MA,United States,"$985,250",34,
"Lookout Foundation, Inc",Boston,MA,United States,"$973,000",11,
"Claneil Foundation, Inc.",Plymouth Meeting,PA,United States,"$972,500",22,
Merck Family Fund,Milton Village,MA,United States,"$972,000",42,
The Red Sox Foundation Inc,Boston,MA,United States,"$955,013",26,
Dentaquest Foundation Inc.,Boston,MA,United States,"$954,659",14,
Holdeen Fund 45-10,Winston-Salem,NC,United States,"$951,251",4,
"Gem Foundation, Inc.",Far Hills,NJ,United States,"$950,000",3,
The Willow Tree Fund,Boston,MA,United States,"$942,600",1,
Foundation for Metrowest Inc.,Natick,MA,United States,"$942,079",36,
The Boston Foundation,Boston,MA,United States,"$938,205",29,
Daniels Fund,Denver,CO,United States,"$935,000",6,
The Doe Family Foundation,Boston,MA,United States,"$932,000",26,
William Randolph Hearst Foundation,New York City,NY,United States,"$920,000",10,
The Cosette Charitable Fund,Dover,MA,United States,"$918,500",44,
Educause,Washington,DC,United States,"$912,090",4,
The Herb Chambers Charitable Foundation,Glastonbury,CT,United States,"$911,225",17,
The Croll Foundation,Boston,MA,United States,"$908,480",41,
Frank Reed & Margaret Jane Peters Memorial Funds,Boston,MA,United States,"$905,000",71,
The Mccance Foundation,North Scituate,MA,United States,"$900,000",15,
Charles and Helen Schwab Foundation,San Francisco,CA,United States,"$900,000",4,
"Massmutual Foundation, Inc.",Springfield,MA,United States,"$894,955",9,
New Schools Fund,Oakland,CA,United States,"$893,500",5,
Rhode Island Foundation,Providence,RI,United States,"$883,543",31,
Stephen C. Luce Charitable Foundation,Providence,RI,United States,"$872,856",24,
"Rockefeller Philanthropy Advisors, Inc.",New York City,NY,United States,"$871,100",12,
Fred Hutchinson Cancer Research,Seattle,WA,United States,"$868,435",3,
The Bromley Charitable Trust,Westwood,MA,United States,"$861,600",14,
Eastern Bank Foundation,Lynn,MA,United States,"$854,966",157,
Hildreth Stewart Charitable Foundation,Boston,MA,United States,"$854,755",30,
The Beveridge Family Foundation,West Newbury,MA,United States,"$841,880",69,
William T. Grant Foundation,New York City,NY,United States,"$835,131",5,
Nbt Ii Foundation,Boston,MA,United States,"$830,000",22,
The Chicago Community Trust,Chicago,IL,United States,"$824,956",50,
"J. E. & Z. B. Butler Foundation, Inc.",New York City,NY,United States,"$820,000",25,
The Bodman Foundation,El Paso,TX,United States,"$815,000",1,
Bushrod H. Campbell & Adah F. Hall Charity Fund,Boston,MA,United States,"$814,000",119,
Cabot Family Charitable Trust,Boston,MA,United States,"$802,500",29,
Albert W. Rice Charitable Foundation,Providence,RI,United States,"$800,000",54,
Paul M. Angell Family Foundation,Chicago,IL,United States,"$790,000",7,
"A. James & Alice B. Clark Foundation, Inc.",Bethesda,MD,United States,"$775,000",3,
"Proteus Fund, Inc.",Amherst,MA,United States,"$767,283",40,
Native American Agriculture Fund,Fayetteville,AR,United States,"$763,404",7,
Horace W. Goldsmith Foundation,New York City,NY,United States,"$762,500",11,
Cullen Foundation,Buffalo,NY,United States,"$762,000",3,
Novo Foundation,Brooklyn,NY,United States,"$757,500",9,
E. Rhodes & Leona B. Carpenter Foundation,Radnor,PA,United States,"$757,000",9,
Eli Lilly and Company Foundation,Indianapolis,IN,United States,"$750,750",4,
"The Hearst Foundation, Inc.",New York City,NY,United States,"$750,000",12,
The John and Mary Corcoran Family Foundation,Braintree,MA,United States,"$750,000",6,
"Accenture Foundation, Inc.",Chicago,IL,United States,"$750,000",1,
Robin Hood Foundation,New York City,NY,United States,"$750,000",1,
The Bezalel Foundation,Tulsa,OK,United States,"$750,000",1,
Hamilton Company Charitable Foundation,Allston,MA,United States,"$749,651",42,
"Mwc Foundation, Inc.",Boston,MA,United States,"$745,000",29,
Lebowitz-Aberly Family Foundation,Dallas,TX,United States,"$737,000",2,
The Llewellyn Foundation,Springfield,OH,United States,"$733,000",37,
Jane'S Trust,Boston,MA,United States,"$725,000",8,
Doris Duke Foundation for Islamic Art,New York City,NY,United States,"$725,000",7,
Altman Foundation,New York City,NY,United States,"$725,000",4,
Doris Duke Foundation for Islamic Art,New York City,NY,United States,"$725,000",7,
Altman Foundation,New York City,NY,United States,"$725,000",4,
The Beagary Charitable Trust,Brooklyn,CT,United States,"$723,084",7,
Zachary and Lindsey Gund Foundation,Princeton,NJ,United States,"$722,298",11,
Parker Family Foundation,New York City,NY,United States,"$722,000",15,
Henry Luce Foundation Inc,New York City,NY,United States,"$720,000",6,
Clearpath Foundation Inc,Charlotte,NC,United States,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,"$670,000",45,
Mukti Fund,Winter Park,FL,United States,"$666,152",6,
Norfolk Charitable Trust,Boston,MA,United States,"$661,150",2,
Stevenson Family Charitable Trust,Cambridge,MA,United States,"$660,750",47,
Foundation for A Just Society,New York City,NY,United States,"$660,000",4,
Community Foundation of New Jersey,Morristown,NJ,United States,"$656,457",43,
Cambridge Community Foundation,Cambridge,MA,United States,"$651,525",42,
Tortora Sillcox Family Foundation,New York City,NY,United States,"$650,000",4,
Wallace H. Coulter Foundation,Miami,FL,United States,"$650,000",3,
Greater Washington Community Foundation,Washington,DC,United States,"$645,448",36,
"Better Way Foundation, Inc.",Minneapolis,MN,United States,"$640,000",1,
Greater Kansas City Community Foundation,Kansas City,MO,United States,"$635,699",28,
"Greenlight Fund, Inc.",Boston,MA,United States,"$635,025",3,
The Rands Foundation,Needham,MA,United States,"$627,000",20,
The Popplestone Foundation,Boston,MA,United States,"$625,000",10,
Rose Community Foundation (Fiscal Sponsor),Denver,CO,United States,"$625,000",3,
National Foundation for the Centers for Disease Control and Prevention,Atlanta,GA,United States,"$620,069",20,
Gardiner Howland Shaw Foundation,Boston,MA,United States,"$619,250",52,
Kate B. Reynolds Charitable Trust,Raleigh,NC,United States,"$617,682",3,
"Philanthropy Massachusetts, Inc.",Boston,MA,United States,"$617,225",47,
Capital One Foundation,Mclean,VA,United States,"$616,500",7,
The Robert and Michelle Cooke Atchinson Foundation,Boston,MA,United States,"$615,500",10,
Fred A. and Donna P. Seigel Charitable Trust,North Hampton,NH,United States,"$615,000",8,
The Fletcher Foundation,Worcester,MA,United States,"$614,000",41,
The Andreas Foundation,Mankato,MN,United States,"$614,000",13,
"The Partnership Project, Inc.",Washington,DC,United States,"$611,310",3,
Herb and Maxine Jacobs Foundation Inc,Boston,MA,United States,"$600,000",14,
"The Block Friedman Family Foundation, Inc.",New York City,NY,United States,"$600,000",6,
Redf,San Francisco,CA,United States,"$600,000",5,
The Owens Family Foundation,Norwell,MA,United States,"$600,000",2,
Josiah Macy Jr. Foundation,New York City,NY,United States,"$599,779",4,
The Lenny Zakim Fund,Boston,MA,United States,"$598,550",49,
National Grid Foundation,Hicksville,NY,United States,"$594,800",34,
Boston Local Development Corp,Boston,MA,United States,"$586,975",1,
"Brookline Tuberculosis & Health Society, Inc.",Jersey City,NJ,United States,"$582,999",1,
Education Forward Dc,Washington,DC,United States,"$580,000",2,
The George F. and Sybil H. Fuller Foundation,Worcester,MA,United States,"$577,800",35,
The Nordblom Family Foundation,Burlington,MA,United States,"$575,500",22,
Richard W. Goldman Family Foundation,Washington,DC,United States,"$575,000",5,
The Nancy Lurie Marks Family Foundation,Wellesley,MA,United States,"$574,551",5,
The Abbot and Dorothy H. Stevens Foundation,North Andover,MA,United States,"$573,500",35,
"Amgen Foundation, Inc.",Thousand Oaks,CA,United States,"$573,168",13,
Vinik Family Foundation,Tampa,FL,United States,"$572,500",12,
"Arbella Insurance Foundation, Inc.",Boston,MA,United States,"$571,946",62,
Heckscher Foundation for Children,New York City,NY,United States,"$570,565",9,
"Ben & Jerry'S Foundation, Inc.",South Burlington,VT,United States,"$570,500",32,
Seattle Foundation,Seattle,WA,United States,"$565,885",67,
The Couch Family Foundation,Boston,MA,United States,"$562,200",13,
Foundation for the Carolinas,Charlotte,NC,United States,"$555,000",4,
Amalgamated Charitable Foundation Inc,Washington,DC,United States,"$553,750",53,
The Arthur Vining Davis Foundations,Ponte Vedra Beach,FL,United States,"$550,000",3,
"United Student Aid Funds, Inc.",Madison,WI,United States,"$550,000",2,
Jhm Charitable Foundation,Manhattan Beach,CA,United States,"$550,000",1,
Strada Education Network Inc,Indianapolis,IN,United States,"$549,960",4,
Paypal Charitable Giving Fund,Washington,DC,United States,"$548,007",39,
"Charles E & C J Adams Trust, Aka Frank W. and Carl S. Adams Memorial Fund",Providence,RI,United States,"$548,000",41,
Adobe Foundation,Wilmington,DE,United States,"$546,755",12,
Goldman Sachs Gives,New York City,NY,United States,"$538,850",11,
Globalgiving,Washington,DC,United States,"$536,498",12,
Open Society Institute,New York City,NY,United States,"$531,200",8,
"The Slater Foundation, Inc.",Boynton Beach,FL,United States,"$530,017",10,
Harris Family Foundation,Chicago,IL,United States,"$529,600",27,
A.C. Ratshesky Foundation,Needham,MA,United States,"$525,000",41,
Joan E. Appleton 1997 Charitable Foundation,Boston,MA,United States,"$525,000",2,
Rsf Social Finance,San Francisco,CA,United States,"$524,500",13,
Aiyana Foundation Inc.,Weston,MA,United States,"$523,400",5,
The Haymarket People'S Fund,Boston,MA,United States,"$523,200",68,
"Community Foundation for Greater Atlanta, Inc.",Atlanta,GA,United States,"$523,171",11,
The Sidney A. Swensrud Foundation,Boston,MA,United States,"$520,000",18,
The Susan Thompson Buffett Foundation,Omaha,NE,United States,"$518,381",4,
The Merck Company Foundation,Kenilworth,NJ,United States,"$517,159",5,
Nathaniel & Elizabeth P. Stevens Foundation,North Andover,MA,United States,"$514,450",45,
Quincy and Estine Lee Charitable Fund,San Antonio,TX,United States,"$510,000",8,
New Hampshire Charitable Foundation,Concord,NH,United States,"$508,887",71,
Circle of Service Foundation,Vernon Hills,IL,United States,"$507,500",13,
The Merck Company Foundation,Kenilworth,NJ,United States,"$517,159",5,
Nathaniel & Elizabeth P. Stevens Foundation,North Andover,MA,United States,"$514,450",45,
Quincy and Estine Lee Charitable Fund,San Antonio,TX,United States,"$510,000",8,
New Hampshire Charitable Foundation,Concord,NH,United States,"$508,887",71,
Circle of Service Foundation,Vernon Hills,IL,United States,"$507,500",13,
"The Marianthi Foundation, Inc.",New York City,NY,United States,"$505,000",3,
The Mosakowski Family Charitable Foundation,Swampscott,MA,United States,"$502,500",4,
"The Goizueta Foundation, Inc.",Atlanta,GA,United States,"$500,000",5,
