Funder Name,Funder EIN,Funder Financial Date,Funder Financial Assets,Funder Financial Expenditures,Funder Financial Total Giving,Funder Financial Grant Amount,Funder Telephone,Funder Email,Funder Website,Funder Address
National Philanthropic Trust,237825575,2020,"$10,895,730,712 ","$2,338,371,955 ","$2,290,838,351 ","$2,154,711,921 ",2152773010, npt@nptrust.org,http://www.nptrust.org,"165 Township Line Rd
Jenkintown, PA, United States 19046"
Remondi Family Foundation,208037556,2019,"$29,379,354 ","$1,690,239 ","$1,584,500 ",N/A,8008391754,N/A,N/A,"Foundation Source 501 Silverside Rd
Wilmington, DE, United States 198091377"
The Robert Wood Johnson Foundation,226029397,2019,"$11,917,251,112 ",N/A,"$434,541,128 ",N/A,6096276000, mail@rwjf.org,http://www.rwjf.org,"50 College Road East
Princeton, NJ, United States 08540"
Highland Street Foundation,43048298,2019,"$81,837,144 ","$38,748,331 ","$34,238,921 ",N/A,6179698900, info@highlandstreet.org,http://www.highlandstreet.org,"2223 Washington Street No 104
Newton, MA, United States 02462"
Goldman Sachs Philanthropy Fund,311774905,2015,"$1,733,570,407 ","$327,172,895 ","$322,390,813 ",N/A,(212) 357-1889, gspf-administration@gs.com,https://gspf.goldman.com/gspf/contac...,"25 British American Blvd.
Latham, NY, United States 12110"
"OneWorld Boston, Inc.",800681389,2019,"$506,957,017 ","$20,486,941 ","$20,042,460 ",N/A,7819358000, jbs@cummings.com,N/A,"200 West Cummings Park
Woburn, MA, United States 01801"
Gordon and Betty Moore Foundation,943397785,2019,"$7,171,712,288 ","$372,076,780 ","$298,352,294 ",N/A,6502133000, info@moore.org,http://www.moore.org,"1661 Page Mill Road
Palo Alto, CA, United States 94304"
New York Life Foundation,132989476,2019,"$194,121,298 ","$19,523,166 ","$21,027,385 ",N/A,2019428310, nylfoundation@newyorklife.com,http://www.newyorklife.com/foundation,"51 Madison Avenue
New York City, NY, United States 10010"
Doris Duke Charitable Foundation,137043679,2018,"$1,773,173,370 ","$126,970,671 ","$95,886,090 ",N/A,9082433619,N/A,http://www.ddcf.org,"650 Fifth Avenue, Fl 19
New York City, NY, United States 10019"
The JPMorgan Chase Foundation,237049738,2019,"$302,020,428 ","$238,503,567 ","$205,893,545 ",N/A,2122703685, west.giving@jpmchase.com,https://www.jpmorganchase.com/corpor...,"383 Madison Avenue 41st Fl
New York City, NY, United States 10017"
Vanguard Charitable Endowment Program,232888152,2020,"$10,837,444,250 ","$1,728,694,449 ","$1,709,260,600 ",N/A,(888) 383-4483, questions@vanguardcharitable.org,http://www.vanguardcharitable.org/,"P.O. Box 3075
Southeastern Hills, KY, United States 19398-3075"
Herman and Frieda L. Miller Foundation,137131926,2020,"$38,179,320 ","$2,893,607 ","$2,565,666 ",N/A,6174267080, jmellen@gmafoundations.com,N/A,"2 Liberty Square No 500
Boston, MA, United States 02109"
The Salem Foundation,137196668,2020,"$42,676,082 ","$6,834,640 ","$6,733,798 ",N/A,4014571700,N/A,N/A,"50 Kennedy Plaza 18th Floor
Providence, RI, United States 02903"
"Masshire Hampden County Workforce Board, Inc.",222489896,2020,"$2,539,198 ","$10,704,552 ","$8,558,568 ","$7,255,277 ",4137871547, info@rebhc.org,http://www.rebhc.org,"1441 Main Street
Springfield, MA, United States 011031406"
The Mabel Louise Riley Foundation,46278857,2019,"$71,018,740 ","$4,137,482 ","$3,415,823 ",N/A,6177227246, nsaunders@rileyfoundation.com,http://www.rileyfoundation.com,"Po Box 185
Pittsburgh, PA, United States 15230-0185"
Ballmer Group,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,http://ballmergroup.org/,"P.O. Box 1558
Bellevue, WA, United States 98009"
New Balance Foundation,46470644,2020,"$147,324,784 ","$9,313,222 ","$8,832,736 ",N/A,6177462212, newbalancefoundation@newbalance.com,http://www.newbalancefoundation.org,"100 Guest Street
Boston, MA, United States 02135"
The Commonwealth Fund,131635260,2020,"$754,853,169 ",N/A,N/A,"$21,204,525 ",N/A, info@cmwf.org,http://www.commonwealthfund.org,"1 E. 75th St.
New York City, NY, United States 10021-2692"
Michael & Susan Dell Foundation,364336415,2019,"$1,824,808,520 ","$152,589,850 ","$103,700,162 ",N/A,5126005500, info@msdf.org,https://www.msdf.org,"4417 westlake Drive
Austin, TX, United States 78746"
The Lynch Foundation,43017940,2018,"$116,986,915 ","$1,150,893 ","$8,183,620 ",N/A,(617) 639-1280, victoria@thelynchfoundation.com,http://thelynchfoundation.com,"109 State Street
Boston, MA, United States 02109"
Alfred P. Sloan Foundation,131623877,2019,"$1,952,076,486 ","$120,670,812 ","$82,731,034 ",N/A,2126491649,N/A,http://www.sloan.org,"630 Fifth Avenue Suite 2200
New York City, NY, United States 10111"
New Profit,43396766,2019,"$74,161,462 ","$22,628,482 ","$7,275,000 ","$7,275,000 ",6179128800, info@newprofit.com,http://www.newprofit.com/cgi-bin/iow...,"225 Franklin St., Ste. 350
Boston, MA, United States 02110"
"Blue Cross Blue Shield of Massachusetts Foundation, Inc.",43148824,2019,"$105,157,775 ","$7,992,253 ","$3,807,430 ",N/A,6172465000, info@bluecrossmafoundation.org,https://www.bcbstx.com/company-info/...,"101 Huntington Avenue
Boston, MA, United States 02199-7611"
Neighborhood Reinvestment Corporation,521148078,2019,"$61,198,148 ","$199,580,101 ","$128,836,732 ","$128,836,732 ",(202) 760-4000, editor@nw.org,http://www.neighborworks.org/,"999 N Capitol St NE Ste 900
Washington, DC, United States 20002"
"PepsiCo, Inc. Corporate Giving Program",N/A,2019,N/A,N/A,"$77,300,000 ",N/A,(914) 253-2552,N/A,https://www.pepsico.com/contact,"700 Anderson Hill Rd.
Purchase, NY, United States 10577-1401"
Wagner Family Foundation,206079941,2019,"$167,164,209 ","$10,566,152 ","$9,091,690 ",N/A,6174392498,N/A,N/A,"Nutter McClennen Fish Llp Pob 51400
Boston, MA, United States 02205"
"The Wal-Mart Foundation, Inc.",205639919,2020,"$34,517,783 ","$133,084,191 ","$125,251,281 ",N/A,(800) 530-9925,N/A,http://giving.walmart.com/foundation,"702 Sw 8th Street Dept 9740 0150
Bentonville, AR, United States 727160150"
Schwab Charitable,311640316,2017,"$10,634,353,155 ","$1,595,320,832 ","$1,565,163,847 ","$1,559,495,632 ",8007466216, ask@schwabcharitable.org,http://www.schwabcharitable.org,"101 Montgomery St
San Francisco, CA, United States 94104"
The Leona M. and Harry B. Helmsley Charitable Trust,137184401,2020,"$5,911,771,397 ","$373,591,790 ","$260,433,258 ",N/A,2126793600, grants@helmsleytrust.org,http://www.helmsleytrust.org,"230 Park Avenue
New York City, NY, United States 10169"
Community Foundation of Western Massachusetts,223089640,2020,"$163,110,259 ","$13,204,025 ","$9,554,143 ","$9,495,737 ",4137322858, wmass@communityfoundation.org,http://www.communityfoundation.org,"333 Bridge Street
Springfield, MA, United States 01103"
The Jaket Foundation,46878795,2019,"$94,240,947 ","$9,031,548 ","$7,299,902 ",N/A,6173579110,N/A,N/A,"Co Howland 75 Federal St No 110
Boston, MA, United States 02110"
The Janey Fund Charitable Trust,112836564,2020,"$25,011,256 ","$5,525,570 ","$5,357,837 ",N/A,6177311222,N/A,N/A,"1330 Boylston Street
Chestnut Hill, MA, United States 02467"
"Charter Fund, Inc.",50620063,2016,"$196,032,843 ","$59,627,808 ","$45,229,231 ",N/A,(303) 217-8090, info@chartergrowthfund.org,http://www.chartergrowthfund.org/,"10901 W. 120th Ave., Ste. 450
Broomfield, CO, United States 80021-3434"
Foundation to Promote Open Society,263753801,2019,"$10,603,152,570 ","$391,139,499 ","$472,349,856 ",N/A,2125480600,N/A,http://www.opensocietyfoundations.org,"224 W. 57th St.
New York City, NY, United States 10019-3212"
The Wyss Foundation,251823874,2019,"$2,499,186,494 ","$154,162,358 ","$138,952,083 ",N/A,2022324418, email@wyssfoundation.org,http://www.wyssfoundation.org,"1759 R Street Nw
Washington, DC, United States 20009"
MacKenzie Scott and Dan Jewett,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Seattle, WA, United States"
Deerbrook Charitable Trust,206257418,2019,"$83,602,806 ","$21,380,609 ","$20,649,387 ",N/A,5165089623, art.sundstrom@deerbrooktrust.org,N/A,"630 Fifth Avenue
New York City, NY, United States 10111"
Charles and Lynn Schusterman Family Philanthropies,731312965,2019,"$2,543,328,414 ","$178,066,459 ","$150,595,636 ",N/A,9188799644,N/A,http://www.schusterman.org,"110 WEST 7TH STREET
Tulsa, OK, United States 74119"
"Surdna Foundation, Inc.",136108163,2020,"$997,976,972 ","$72,034,981 ","$41,555,943 ",N/A,(212) 557-0010, grants@surdna.org,http://www.surdna.org,"200 Madison Avenue Fl 25
New York City, NY, United States 10016"
Tides Foundation,510198509,2019,"$531,362,799 ","$475,324,984 ","$457,114,575 ","$325,616,289 ",(415) 561-6400, info@tides.org,http://www.tides.org,"1012 Torney Avenue
San Francisco, CA, United States 94129"
Massachusetts League of Community Health Centers Inc,42507409,2020,"$23,034,856 ","$25,883,147 ","$11,356,251 ","$7,495,901 ",6174262225, massleague@massleague.org,https://massleague.org,"40 Court Street
Boston, MA, United States 2108"
"Greater Worcester Community Foundation, Inc.",42572276,2019,"$167,101,551 ","$8,118,044 ","$6,003,163 ",N/A,5087550980, donorservices@greaterworcester.org,http://www.greaterworcester.org,"370 Main Street, Suite 650
Worcester, MA, United States 1608"
The Fish Family Foundation,46905753,2020,"$13,364,615 ","$2,671,744 ","$1,945,418 ",N/A,6174283775, fishfamfound@aol.com,N/A,"75 State Street
Boston, MA, United States 2109"
Amelia Peabody Charitable Fund,237364949,2019,"$187,007,414 ","$7,733,009 ","$6,264,500 ",N/A,6174516178,N/A,http://www.apcfund.org,"185 Devonshire Street No 600
Boston, MA, United States 02110"
"The Harry and Jeanette Weinberg Foundation, Inc.",526037034,2019,"$2,910,094,048 ","$151,490,067 ","$120,570,442 ",N/A,4106548500,N/A,http://hjweinbergfoundation.org,"7 Park Center Ct
Owings Mills, MD, United States 21117-4200"
John Templeton Foundation,621322826,2019,"$3,329,359,523 ","$152,520,592 ","$120,882,138 ",N/A,6109412828, info@templeton.org,http://www.templeton.org/,"300 CONSHOHOCKEN STATE RD
West Conshohocken, PA, United States 19428"
W. Clement & Jessie V. Stone Foundation,362498125,2019,"$115,642,669 ","$6,807,069 ","$5,025,300 ",N/A,3123662263, brian@wcstonefnd.org,http://www.wcstonefnd.org,"70 E Lake Street 1020
Chicago, IL, United States 60601"
The Jenesis Group,756349718,2019,"$35,178,717 ","$10,994,509 ","$3,265,000 ",N/A,9729994554, ktanner@jenesis.org,http://www.jenesis.org,"130 E John Carpenter Frwy
Irving, TX, United States 75062"
Boston Charitable Trust Fund,46528581,2020,"$13,199,861 ","$20,468,301 ","$20,461,021 ","$20,461,021 ",6176354140,N/A,N/A,"Boston City Hall No M-5
Boston, MA, United States 02201"
"Public Welfare Foundation, Inc.",540597601,2018,"$525,738,736 ","$27,027,237 ","$21,633,604 ",N/A,2029651800, info@publicwelfare.org,http://www.publicwelfare.org,"1200 U St. N.W.
Washington, DC, United States 20009-4443"
The Rockefeller Foundation,131659629,2019,"$4,929,907,452 ","$249,508,047 ","$146,298,106 ",N/A,2128528361,N/A,http://www.rockefellerfoundation.org,"420 Fifth Avenue
New York City, NY, United States 100182702"
Holdeen Fund 47-10,146018147,2018,"$16,539,573 ","$998,181 ","$875,275 ",N/A,(888) 730-4933,N/A,N/A,"Wells Fargo Bank N A Trust Tax Dept - 100 N Main St MAC D4001-117
Winston-Salem, NC, United States 27101"
Essex County Community Foundation,43407816,2020,"$96,930,282 ","$21,303,865 ","$18,121,766 ","$18,086,766 ",9787778876, info@eccf.org,http://www.eccf.org,"175 Andover Street, Suite 101
Danvers, MA, United States 1923"
"Clowes Fund, Inc.",351079679,2019,"$76,317,349 ","$4,318,853 ","$3,230,000 ",N/A,3178330144, staff@clowesfund.org,http://www.clowesfund.org,"320 North Meridian Street
Indianapolis, IN, United States 46204"
The Pershing Square Foundation,208068401,2020,"$246,616,340 ","$35,388,302 ","$30,631,195 ",N/A,2129498700, info@persq.org,http://www.pershingsquarefoundation.org,"C/O EisnerAmper LLP 733 THIRD AVE
New York City, NY, United States 10017"
The Gordon and Llura Gund Foundation,222987293,2020,"$305,686,760 ","$7,560,838 ","$7,269,351 ",N/A,6099213633,N/A,N/A,"14 Nassau Street
Princeton, NJ, United States 08542"
Charles H. Farnsworth Trust,46096075,2019,"$29,561,946 ","$1,672,430 ","$1,350,000 ",N/A,8888663275, ma.grantmaking@ustrust.com,http://www.bankofamerica.com/grantmaking,"225 Franklin St., 4th Fl., MA1-225-04-02
Boston, MA, United States 02110-2804"
"National Urban League, Inc.",131840489,2019,"$61,301,103 ","$50,720,561 ","$19,994,687 ","$19,976,687 ",212-558-5300, info@nul.org,http://www.nul.org,"80 Pine St., Fl. 9
New York City, NY, United States 10005"
Open Philanthropy Project,810737472,,N/A,N/A,N/A,N/A,N/A, info@openphilanthropy.org,https://www.openphilanthropy.org/,"182 Howard Street #225
San Francisco, CA, United States 94105"
New Venture Fund,205806345,2019,"$490,833,258 ","$420,857,504 ","$242,710,382 ","$171,291,428 ",2025951061, info@newventurefund.org,http://www.newventurefund.org/,"1201 Connecticut Ave. NW
Washington, DC, United States 20036"
"Health Resources in Action, Inc.",42229839,2020,"$33,405,946 ","$23,120,465 ","$5,209,373 ","$5,209,373 ",6174510049, rconsidine@hria.org,https://hria.org/,"Two Boylston St., Ste. 4
Boston, MA, United States 02116-4737"
New Venture Fund,205806345,2019,"$490,833,258 ","$420,857,504 ","$242,710,382 ","$171,291,428 ",2025951061, info@newventurefund.org,http://www.newventurefund.org/,"1201 Connecticut Ave. NW
Washington, DC, United States 20036"
The Pinkerton Foundation,136206624,2019,"$696,463,915 ","$39,274,602 ","$29,538,385 ",N/A,2123323385, pinkfdn@pinkertonfdn.org,http://www.thepinkertonfoundation.org,"610 Fifth Avenue
New York City, NY, United States 10020"
"Health Resources in Action, Inc.",42229839,2020,"$33,405,946 ","$23,120,465 ","$5,209,373 ","$5,209,373 ",6174510049, rconsidine@hria.org,https://hria.org/,"Two Boylston St., Ste. 4
Boston, MA, United States 02116-4737"
Calderwood Charitable Foundation,46186166,2020,"$11,042,159 ","$2,156,574 ","$2,043,166 ",N/A,6172484760,N/A,N/A,"Choate LLP PO Box 961019
Boston, MA, United States 02196"
Ewing Marion Kauffman Foundation,436064859,2017,"$2,430,928,764 ","$124,744,417 ","$74,463,759 ",N/A,(816) 932-1000, info@kauffman.org,http://www.kauffman.org,"4801 Rockhill Rd.
Kansas City, MO, United States 64110-2046"
The Louis Calder Foundation,136015562,2020,"$188,480,821 ","$11,087,184 ","$7,886,325 ",N/A,7209439865, proposals@calderfdn.org,http://www.louiscalderfdn.org,"999 18th Street No 2350s
Denver, CO, United States 80202"
Fidelity Nonprofit Management Foundation,223195349,2019,"$2,021,140,913 ","$136,206,522 ","$134,308,518 ","$134,308,518 ",6176467418,N/A,N/A,"7 Water Street
Boston, MA, United States 02109"
Unitarian Universalist Veatch Program at Shelter Rock,111855655,2006,$0 ,N/A,"$8,303,455 ","$8,303,455 ",(516) 627-6576, jan@veatch.org,https://uucsrg/programs/veatch-pr...,"48 Shelter Rock Rd.
Manhasset, NY, United States 11030-3902"
"Network for Good, Inc.",680480736,2016,"$97,565,360 ","$305,395,277 ","$292,256,800 ","$292,256,800 ",8882847978, customerservice@networkforgood.com,https://www.networkforgood.com/,"1140 Connecticut Ave NW
Washington, DC, United States 20036"
Devonshire Foundation,46004808,2019,"$55,513,333 ","$3,121,685 ","$2,530,765 ",N/A,6173579110,N/A,N/A,"75 Federal St No 1100
Boston, MA, United States 021101911"
High Meadows Foundation,208521462,2019,"$26,183,626 ","$7,794,893 ","$7,347,400 ",N/A,6175361910, info@highmeadowsgroup.org,http://www.highmeadowsfoundation.com,"160 Commonwealth Ave., Ste. L5
Boston, MA, United States 02116-2749"
"The Marcus Foundation, Inc.",581815651,2019,"$90,430,922 ","$182,024,799 ","$161,553,961 ",N/A,4042407700,N/A,N/A,"1266 W. Paces Ferry Rd., No. 615
Atlanta, GA, United States 30327-2306"
"Santander Bank, N.A. Contributions Program",N/A,,N/A,N/A,N/A,N/A,(617) 346-7200, santandercharitablecont@santander.us,https://www.santanderbank.com/us/abo...,"75 State St.
Boston, MA, United States 02109"
"Family League of Baltimore City, Inc.",521734848,2020,"$9,445,016 ","$23,340,043 ","$14,680,971 ","$14,680,971 ",4106625500, info@familyleague.org,http://www.flbcinc.org/,"2305 N Charles Street No 200
Baltimore, MD, United States 21218"
Arnold Ventures,263241764,2019,"$2,356,002,596 ","$220,497,242 ","$211,092,204 ",N/A,7135541349, info@arnoldfoundation.org,https://www.arnoldventures.org/,"1717 West Loop South Suite 1800
Houston, TX, United States 77027-3048"
Harvard Pilgrim Health Care Foundation,42708004,2019,"$13,366,573 ","$6,823,778 ","$4,399,270 ","$4,399,270 ",7812636000, Karen_voci@harvardpilgrim.org,http://www.harvardpilgrim.org/foundation,"93 Worcester Street
Wellesley, MA, United States 024819181"
Richard K. & Nancy L. Donahue Charitable Foundation,43133049,2020,"$7,755,473 ","$7,705,556 ","$7,679,761 ",N/A,2078839813, nldonahue@comcast.net,N/A,"52 Belmont Avenue
Lowell, MA, United States 01852"
Technical Training Foundation,42864138,2019,"$88,468,847 ","$4,726,767 ","$4,295,698 ",N/A,9786851553,N/A,N/A,"4 High St
North Andover, MA, United States 01845-2620"
"Stephen M. Gorn Family Foundation, Inc.",208022777,2020,"$16,403 ","$26,655 ","$25,000 ",N/A,4104861234,N/A,N/A,"124 Slade Avenue No 200
Baltimore, MD, United States 212084991"
Boston Medical Center Corporation,43314093,2019,"$2,427,982,000 ","$1,649,267,744 ","$25,423,342 ","$24,149,744 ",6174141628,N/A,http://www.bmc.org,"1 Boston Medical Center Pl Ste 1
Boston, MA, United States 2118"
Eli & Edythe Broad Foundation,954686318,2019,"$1,846,960,427 ","$77,644,875 ","$155,054,528 ",N/A,3109545026, info@broadfoundation.org,http://www.broadfoundation.org,"2121 Avenue of the Stars No 3000
Los Angeles, CA, United States 90067"
"Shipley Foundation, Inc.",237015570,2019,"$190,037,932 ","$10,563,763 ","$9,009,900 ",N/A,6174392276,N/A,N/A,"P.O. Box 51400
Boston, MA, United States 02205-1400"
"The 1434 Foundation, Inc.",472480352,2019,"$78,232,243 ","$4,095,940 ","$3,440,500 ",N/A,6175893865,N/A,N/A,"160 Commonwealth Avenue Suite L10
Boston, MA, United States 02116"
"Chicago Beyond, Inc.",475610834,2019,"$1,915,117 ","$8,816,739 ","$5,932,456 ",N/A,3122446980,N/A,N/A,"227 W Monroe St
Chicago, IL, United States 60606"
Alnoba Lewis Family Foundation,261536108,2019,"$35,953,334 ","$8,595,428 ","$5,032,324 ",N/A,6177903911,N/A,N/A,"347 Congress Street
Boston, MA, United States 02210"
The Shapiro Foundation,43541595,2019,"$159,264,836 ","$11,393,572 ","$8,135,498 ",N/A,8186102900,N/A,N/A,"661 Highland Ave No 103a
Needham, MA, United States 02494"
